Date,Consumption
2020-08-24 11:00:00,23217
2020-08-24 10:00:00,21457
2020-08-24 09:00:00,20519
2020-08-24 08:00:00,20384
2020-08-24 07:00:00,20735
2020-08-24 06:00:00,21523
2020-08-24 05:00:00,22684
2020-08-24 04:00:00,24379
2020-08-24 03:00:00,26475
2020-08-24 02:00:00,28527
2020-08-24 01:00:00,29952
2020-08-24 00:00:00,30360
2020-08-23 23:00:00,31354
2020-08-23 22:00:00,32277
2020-08-23 21:00:00,32453
2020-08-23 20:00:00,32247
2020-08-23 19:00:00,31722
2020-08-23 18:00:00,30922
2020-08-23 17:00:00,29638
2020-08-23 16:00:00,27825
2020-08-23 15:00:00,25852
2020-08-23 14:00:00,23943
2020-08-23 13:00:00,22057
2020-08-23 12:00:00,20486
2020-08-23 11:00:00,20084
2020-08-23 10:00:00,19905
2020-08-23 09:00:00,19881
2020-08-23 08:00:00,20073
2020-08-23 07:00:00,20515
2020-08-23 06:00:00,21485
2020-08-23 05:00:00,22660
2020-08-23 04:00:00,24414
2020-08-23 03:00:00,26339
2020-08-23 02:00:00,28184
2020-08-23 01:00:00,29635
2020-08-23 00:00:00,30131
2020-08-22 23:00:00,31170
2020-08-22 22:00:00,31970
2020-08-22 21:00:00,32255
2020-08-22 20:00:00,31979
2020-08-22 19:00:00,32006
2020-08-22 18:00:00,31476
2020-08-22 17:00:00,30347
2020-08-22 16:00:00,28665
2020-08-22 15:00:00,26641
2020-08-22 14:00:00,24461
2020-08-22 13:00:00,22647
2020-08-22 12:00:00,21060
2020-08-22 11:00:00,20636
2020-08-22 10:00:00,20290
2020-08-22 09:00:00,20209
2020-08-22 08:00:00,20436
2020-08-22 07:00:00,20981
2020-08-22 06:00:00,21660
2020-08-22 05:00:00,22922
2020-08-22 04:00:00,24526
2020-08-22 03:00:00,26353
2020-08-22 02:00:00,27927
2020-08-22 01:00:00,29257
2020-08-22 00:00:00,29649
2020-08-21 23:00:00,30718
2020-08-21 22:00:00,31644
2020-08-21 21:00:00,31597
2020-08-21 20:00:00,31671
2020-08-21 19:00:00,31272
2020-08-21 18:00:00,30466
2020-08-21 17:00:00,29552
2020-08-21 16:00:00,28405
2020-08-21 15:00:00,27230
2020-08-21 14:00:00,26132
2020-08-21 13:00:00,25098
2020-08-21 12:00:00,23882
2020-08-21 11:00:00,22787
2020-08-21 10:00:00,21522
2020-08-21 09:00:00,20797
2020-08-21 08:00:00,20785
2020-08-21 07:00:00,21280
2020-08-21 06:00:00,22073
2020-08-21 05:00:00,23353
2020-08-21 04:00:00,24923
2020-08-21 03:00:00,27006
2020-08-21 02:00:00,29754
2020-08-21 01:00:00,31525
2020-08-21 00:00:00,32391
2020-08-20 23:00:00,33959
2020-08-20 22:00:00,34794
2020-08-20 21:00:00,34927
2020-08-20 20:00:00,34558
2020-08-20 19:00:00,33685
2020-08-20 18:00:00,32373
2020-08-20 17:00:00,30794
2020-08-20 16:00:00,29070
2020-08-20 15:00:00,27510
2020-08-20 14:00:00,25975
2020-08-20 13:00:00,24645
2020-08-20 12:00:00,23483
2020-08-20 11:00:00,22414
2020-08-20 10:00:00,20928
2020-08-20 09:00:00,20130
2020-08-20 08:00:00,20209
2020-08-20 07:00:00,20711
2020-08-20 06:00:00,21546
2020-08-20 05:00:00,22751
2020-08-20 04:00:00,24559
2020-08-20 03:00:00,26728
2020-08-20 02:00:00,29033
2020-08-20 01:00:00,30871
2020-08-20 00:00:00,31830
2020-08-19 23:00:00,33541
2020-08-19 22:00:00,34763
2020-08-19 21:00:00,35526
2020-08-19 20:00:00,35839
2020-08-19 19:00:00,35668
2020-08-19 18:00:00,34650
2020-08-19 17:00:00,32909
2020-08-19 16:00:00,30793
2020-08-19 15:00:00,28509
2020-08-19 14:00:00,26448
2020-08-19 13:00:00,24892
2020-08-19 12:00:00,23507
2020-08-19 11:00:00,22530
2020-08-19 10:00:00,21275
2020-08-19 09:00:00,20521
2020-08-19 08:00:00,20594
2020-08-19 07:00:00,21072
2020-08-19 06:00:00,22010
2020-08-19 05:00:00,23240
2020-08-19 04:00:00,25290
2020-08-19 03:00:00,27792
2020-08-19 02:00:00,30398
2020-08-19 01:00:00,32276
2020-08-19 00:00:00,33314
2020-08-18 23:00:00,34903
2020-08-18 22:00:00,35998
2020-08-18 21:00:00,36416
2020-08-18 20:00:00,36227
2020-08-18 19:00:00,35316
2020-08-18 18:00:00,34119
2020-08-18 17:00:00,32386
2020-08-18 16:00:00,30394
2020-08-18 15:00:00,28193
2020-08-18 14:00:00,26206
2020-08-18 13:00:00,24607
2020-08-18 12:00:00,23250
2020-08-18 11:00:00,22206
2020-08-18 10:00:00,20966
2020-08-18 09:00:00,20341
2020-08-18 08:00:00,20423
2020-08-18 07:00:00,20909
2020-08-18 06:00:00,21719
2020-08-18 05:00:00,23099
2020-08-18 04:00:00,24915
2020-08-18 03:00:00,27339
2020-08-18 02:00:00,29986
2020-08-18 01:00:00,31791
2020-08-18 00:00:00,33003
2020-08-17 23:00:00,34535
2020-08-17 22:00:00,35567
2020-08-17 21:00:00,36001
2020-08-17 20:00:00,36013
2020-08-17 19:00:00,35144
2020-08-17 18:00:00,33851
2020-08-17 17:00:00,32101
2020-08-17 16:00:00,30055
2020-08-17 15:00:00,28123
2020-08-17 14:00:00,26291
2020-08-17 13:00:00,24419
2020-08-17 12:00:00,22730
2020-08-17 11:00:00,21571
2020-08-17 10:00:00,20126
2020-08-17 09:00:00,19429
2020-08-17 08:00:00,19287
2020-08-17 07:00:00,19752
2020-08-17 06:00:00,20551
2020-08-17 05:00:00,21726
2020-08-17 04:00:00,23379
2020-08-17 03:00:00,25396
2020-08-17 02:00:00,27565
2020-08-17 01:00:00,28896
2020-08-17 00:00:00,29550
2020-08-16 23:00:00,30479
2020-08-16 22:00:00,30800
2020-08-16 21:00:00,30183
2020-08-16 20:00:00,29313
2020-08-16 19:00:00,28386
2020-08-16 18:00:00,27570
2020-08-16 17:00:00,26535
2020-08-16 16:00:00,25274
2020-08-16 15:00:00,24093
2020-08-16 14:00:00,22836
2020-08-16 13:00:00,21320
2020-08-16 12:00:00,19844
2020-08-16 11:00:00,19605
2020-08-16 10:00:00,19436
2020-08-16 09:00:00,19606
2020-08-16 08:00:00,19807
2020-08-16 07:00:00,20485
2020-08-16 06:00:00,21340
2020-08-16 05:00:00,22458
2020-08-16 04:00:00,24021
2020-08-16 03:00:00,25967
2020-08-16 02:00:00,27726
2020-08-16 01:00:00,28875
2020-08-16 00:00:00,29601
2020-08-15 23:00:00,30850
2020-08-15 22:00:00,31782
2020-08-15 21:00:00,32283
2020-08-15 20:00:00,32451
2020-08-15 19:00:00,32357
2020-08-15 18:00:00,32141
2020-08-15 17:00:00,31158
2020-08-15 16:00:00,29498
2020-08-15 15:00:00,27587
2020-08-15 14:00:00,25793
2020-08-15 13:00:00,24142
2020-08-15 12:00:00,22700
2020-08-15 11:00:00,22339
2020-08-15 10:00:00,21954
2020-08-15 09:00:00,21796
2020-08-15 08:00:00,21992
2020-08-15 07:00:00,22684
2020-08-15 06:00:00,23606
2020-08-15 05:00:00,24864
2020-08-15 04:00:00,26708
2020-08-15 03:00:00,28757
2020-08-15 02:00:00,31025
2020-08-15 01:00:00,32530
2020-08-15 00:00:00,33493
2020-08-14 23:00:00,35317
2020-08-14 22:00:00,36406
2020-08-14 21:00:00,36691
2020-08-14 20:00:00,36440
2020-08-14 19:00:00,35852
2020-08-14 18:00:00,34255
2020-08-14 17:00:00,32688
2020-08-14 16:00:00,31042
2020-08-14 15:00:00,29347
2020-08-14 14:00:00,27381
2020-08-14 13:00:00,26090
2020-08-14 12:00:00,25690
2020-08-14 11:00:00,24823
2020-08-14 10:00:00,23674
2020-08-14 09:00:00,21986
2020-08-14 08:00:00,21975
2020-08-14 07:00:00,22512
2020-08-14 06:00:00,24129
2020-08-14 05:00:00,25097
2020-08-14 04:00:00,25969
2020-08-14 03:00:00,28615
2020-08-14 02:00:00,30819
2020-08-14 01:00:00,32170
2020-08-14 00:00:00,33339
2020-08-13 23:00:00,35127
2020-08-13 22:00:00,36337
2020-08-13 21:00:00,36977
2020-08-13 20:00:00,37286
2020-08-13 19:00:00,36580
2020-08-13 18:00:00,36836
2020-08-13 17:00:00,35098
2020-08-13 16:00:00,33175
2020-08-13 15:00:00,30852
2020-08-13 14:00:00,28785
2020-08-13 13:00:00,27056
2020-08-13 12:00:00,25449
2020-08-13 11:00:00,24462
2020-08-13 10:00:00,23341
2020-08-13 09:00:00,22601
2020-08-13 08:00:00,22747
2020-08-13 07:00:00,23381
2020-08-13 06:00:00,24412
2020-08-13 05:00:00,25840
2020-08-13 04:00:00,27809
2020-08-13 03:00:00,30357
2020-08-13 02:00:00,32906
2020-08-13 01:00:00,34778
2020-08-13 00:00:00,35979
2020-08-12 23:00:00,37470
2020-08-12 22:00:00,38411
2020-08-12 21:00:00,38879
2020-08-12 20:00:00,39033
2020-08-12 19:00:00,38933
2020-08-12 18:00:00,38448
2020-08-12 17:00:00,37151
2020-08-12 16:00:00,35026
2020-08-12 15:00:00,32435
2020-08-12 14:00:00,29682
2020-08-12 13:00:00,27348
2020-08-12 12:00:00,25432
2020-08-12 11:00:00,24261
2020-08-12 10:00:00,23282
2020-08-12 09:00:00,22753
2020-08-12 08:00:00,22879
2020-08-12 07:00:00,23564
2020-08-12 06:00:00,24595
2020-08-12 05:00:00,26035
2020-08-12 04:00:00,27998
2020-08-12 03:00:00,30550
2020-08-12 02:00:00,33193
2020-08-12 01:00:00,34954
2020-08-12 00:00:00,36132
2020-08-11 23:00:00,37675
2020-08-11 22:00:00,38458
2020-08-11 21:00:00,38768
2020-08-11 20:00:00,38865
2020-08-11 19:00:00,38347
2020-08-11 18:00:00,37164
2020-08-11 17:00:00,35144
2020-08-11 16:00:00,32665
2020-08-11 15:00:00,30118
2020-08-11 14:00:00,27880
2020-08-11 13:00:00,26009
2020-08-11 12:00:00,24384
2020-08-11 11:00:00,23320
2020-08-11 10:00:00,22265
2020-08-11 09:00:00,21602
2020-08-11 08:00:00,21632
2020-08-11 07:00:00,22309
2020-08-11 06:00:00,23276
2020-08-11 05:00:00,24569
2020-08-11 04:00:00,26606
2020-08-11 03:00:00,29112
2020-08-11 02:00:00,31705
2020-08-11 01:00:00,33306
2020-08-11 00:00:00,34742
2020-08-10 23:00:00,36441
2020-08-10 22:00:00,37858
2020-08-10 21:00:00,38637
2020-08-10 20:00:00,38904
2020-08-10 19:00:00,38928
2020-08-10 18:00:00,38394
2020-08-10 17:00:00,36664
2020-08-10 16:00:00,34284
2020-08-10 15:00:00,31556
2020-08-10 14:00:00,28723
2020-08-10 13:00:00,26299
2020-08-10 12:00:00,24206
2020-08-10 11:00:00,22968
2020-08-10 10:00:00,21894
2020-08-10 09:00:00,21335
2020-08-10 08:00:00,21396
2020-08-10 07:00:00,21906
2020-08-10 06:00:00,22747
2020-08-10 05:00:00,24127
2020-08-10 04:00:00,26066
2020-08-10 03:00:00,28460
2020-08-10 02:00:00,30937
2020-08-10 01:00:00,32619
2020-08-10 00:00:00,33944
2020-08-09 23:00:00,35585
2020-08-09 22:00:00,36646
2020-08-09 21:00:00,36850
2020-08-09 20:00:00,37077
2020-08-09 19:00:00,36762
2020-08-09 18:00:00,35880
2020-08-09 17:00:00,34098
2020-08-09 16:00:00,31522
2020-08-09 15:00:00,28499
2020-08-09 14:00:00,25732
2020-08-09 13:00:00,23004
2020-08-09 12:00:00,20929
2020-08-09 11:00:00,20439
2020-08-09 10:00:00,20568
2020-08-09 09:00:00,20821
2020-08-09 08:00:00,21284
2020-08-09 07:00:00,22145
2020-08-09 06:00:00,23267
2020-08-09 05:00:00,24778
2020-08-09 04:00:00,27007
2020-08-09 03:00:00,29276
2020-08-09 02:00:00,31564
2020-08-09 01:00:00,33306
2020-08-09 00:00:00,34876
2020-08-08 23:00:00,36602
2020-08-08 22:00:00,37406
2020-08-08 21:00:00,37217
2020-08-08 20:00:00,36653
2020-08-08 19:00:00,35615
2020-08-08 18:00:00,34267
2020-08-08 17:00:00,32495
2020-08-08 16:00:00,30240
2020-08-08 15:00:00,27654
2020-08-08 14:00:00,25055
2020-08-08 13:00:00,22872
2020-08-08 12:00:00,21242
2020-08-08 11:00:00,20655
2020-08-08 10:00:00,20452
2020-08-08 09:00:00,20294
2020-08-08 08:00:00,20727
2020-08-08 07:00:00,21420
