Date,Consumption
2020-08-30 20:00:00,98488
2020-08-30 19:00:00,95746
2020-08-30 18:00:00,93293
2020-08-30 17:00:00,89944
2020-08-30 16:00:00,86253
2020-08-30 15:00:00,82434
2020-08-30 14:00:00,78248
2020-08-30 13:00:00,75094
2020-08-30 12:00:00,71632
2020-08-30 11:00:00,70959
2020-08-30 10:00:00,71197
2020-08-30 09:00:00,72223
2020-08-30 08:00:00,73640
2020-08-30 07:00:00,76069
2020-08-30 06:00:00,78433
2020-08-30 05:00:00,82536
2020-08-30 04:00:00,88543
2020-08-30 03:00:00,94037
2020-08-30 02:00:00,100277
2020-08-30 01:00:00,105270
2020-08-30 00:00:00,108688
2020-08-29 23:00:00,113342
2020-08-29 22:00:00,114858
2020-08-29 21:00:00,113589
2020-08-29 20:00:00,111372
2020-08-29 19:00:00,108993
2020-08-29 18:00:00,107271
2020-08-29 17:00:00,104960
2020-08-29 16:00:00,101818
2020-08-29 15:00:00,97645
2020-08-29 14:00:00,93435
2020-08-29 13:00:00,90216
2020-08-29 12:00:00,86264
2020-08-29 11:00:00,84554
2020-08-29 10:00:00,83363
2020-08-29 09:00:00,83088
2020-08-29 08:00:00,84286
2020-08-29 07:00:00,86537
2020-08-29 06:00:00,89286
2020-08-29 05:00:00,93719
2020-08-29 04:00:00,99520
2020-08-29 03:00:00,105354
2020-08-29 02:00:00,111628
2020-08-29 01:00:00,116417
2020-08-29 00:00:00,119909
2020-08-28 23:00:00,124229
2020-08-28 22:00:00,128930
2020-08-28 21:00:00,132504
2020-08-28 20:00:00,134061
2020-08-28 19:00:00,133956
2020-08-28 18:00:00,131920
2020-08-28 17:00:00,128331
2020-08-28 16:00:00,122713
2020-08-28 15:00:00,115868
2020-08-28 14:00:00,109199
2020-08-28 13:00:00,103804
2020-08-28 12:00:00,99522
2020-08-28 11:00:00,95721
2020-08-28 10:00:00,91725
2020-08-28 09:00:00,90044
2020-08-28 08:00:00,90697
2020-08-28 07:00:00,93045
2020-08-28 06:00:00,96994
2020-08-28 05:00:00,102624
2020-08-28 04:00:00,108458
2020-08-28 03:00:00,114934
2020-08-28 02:00:00,122870
2020-08-28 01:00:00,129383
2020-08-28 00:00:00,133734
2020-08-27 23:00:00,138825
2020-08-27 22:00:00,141154
2020-08-27 21:00:00,141606
2020-08-27 20:00:00,141101
2020-08-27 19:00:00,140099
2020-08-27 18:00:00,137226
2020-08-27 17:00:00,131866
2020-08-27 16:00:00,124473
2020-08-27 15:00:00,116442
2020-08-27 14:00:00,108599
2020-08-27 13:00:00,101506
2020-08-27 12:00:00,96503
2020-08-27 11:00:00,92922
2020-08-27 10:00:00,88839
2020-08-27 09:00:00,86650
2020-08-27 08:00:00,86806
2020-08-27 07:00:00,89034
2020-08-27 06:00:00,92307
2020-08-27 05:00:00,97036
2020-08-27 04:00:00,102975
2020-08-27 03:00:00,108957
2020-08-27 02:00:00,115039
2020-08-27 01:00:00,120492
2020-08-27 00:00:00,123532
2020-08-26 23:00:00,128221
2020-08-26 22:00:00,130276
2020-08-26 21:00:00,129891
2020-08-26 20:00:00,127861
2020-08-26 19:00:00,125438
2020-08-26 18:00:00,121802
2020-08-26 17:00:00,117309
2020-08-26 16:00:00,112002
2020-08-26 15:00:00,106346
2020-08-26 14:00:00,100678
2020-08-26 13:00:00,95351
2020-08-26 12:00:00,90885
2020-08-26 11:00:00,88200
2020-08-26 10:00:00,85491
2020-08-26 09:00:00,83668
2020-08-26 08:00:00,84354
2020-08-26 07:00:00,86948
2020-08-26 06:00:00,90538
2020-08-26 05:00:00,96262
2020-08-26 04:00:00,103602
2020-08-26 03:00:00,111394
2020-08-26 02:00:00,119075
2020-08-26 01:00:00,124843
2020-08-26 00:00:00,129798
2020-08-25 23:00:00,136037
2020-08-25 22:00:00,138952
2020-08-25 21:00:00,139448
2020-08-25 20:00:00,139058
2020-08-25 19:00:00,137561
2020-08-25 18:00:00,134796
2020-08-25 17:00:00,130415
2020-08-25 16:00:00,124038
2020-08-25 15:00:00,116984
2020-08-25 14:00:00,109835
2020-08-25 13:00:00,103449
2020-08-25 12:00:00,98841
2020-08-25 11:00:00,95634
2020-08-25 10:00:00,91909
2020-08-25 09:00:00,89603
2020-08-25 08:00:00,90159
2020-08-25 07:00:00,92674
2020-08-25 06:00:00,95731
2020-08-25 05:00:00,100669
2020-08-25 04:00:00,107123
