Date,Consumption
2020-08-24 11:00:00,78288
2020-08-24 10:00:00,74687
2020-08-24 09:00:00,73683
2020-08-24 08:00:00,74554
2020-08-24 07:00:00,77016
2020-08-24 06:00:00,80632
2020-08-24 05:00:00,86078
2020-08-24 04:00:00,91492
2020-08-24 03:00:00,97234
2020-08-24 02:00:00,102772
2020-08-24 01:00:00,105653
2020-08-24 00:00:00,110283
2020-08-23 23:00:00,112470
2020-08-23 22:00:00,111984
2020-08-23 21:00:00,110318
2020-08-23 20:00:00,107668
2020-08-23 19:00:00,104442
2020-08-23 18:00:00,100379
2020-08-23 17:00:00,94953
2020-08-23 16:00:00,88220
2020-08-23 15:00:00,81028
2020-08-23 14:00:00,74703
2020-08-23 13:00:00,70177
2020-08-23 12:00:00,68341
2020-08-23 11:00:00,68251
2020-08-23 10:00:00,68354
2020-08-23 09:00:00,69380
2020-08-23 08:00:00,71198
2020-08-23 07:00:00,73688
2020-08-23 06:00:00,77241
2020-08-23 05:00:00,80741
2020-08-23 04:00:00,85747
2020-08-23 03:00:00,91826
2020-08-23 02:00:00,96872
2020-08-23 01:00:00,100179
2020-08-23 00:00:00,104626
2020-08-22 23:00:00,106998
2020-08-22 22:00:00,107172
2020-08-22 21:00:00,105926
2020-08-22 20:00:00,103635
2020-08-22 19:00:00,100827
2020-08-22 18:00:00,97297
2020-08-22 17:00:00,92798
2020-08-22 16:00:00,87097
2020-08-22 15:00:00,80988
2020-08-22 14:00:00,75827
2020-08-22 13:00:00,71722
2020-08-22 12:00:00,69558
2020-08-22 11:00:00,68928
2020-08-22 10:00:00,68758
2020-08-22 09:00:00,69387
2020-08-22 08:00:00,71161
2020-08-22 07:00:00,73787
2020-08-22 06:00:00,77314
2020-08-22 05:00:00,81558
2020-08-22 04:00:00,86670
2020-08-22 03:00:00,93085
2020-08-22 02:00:00,98374
2020-08-22 01:00:00,101752
2020-08-22 00:00:00,106853
2020-08-21 23:00:00,109893
2020-08-21 22:00:00,110823
2020-08-21 21:00:00,109955
2020-08-21 20:00:00,108154
2020-08-21 19:00:00,105312
2020-08-21 18:00:00,101257
2020-08-21 17:00:00,96522
2020-08-21 16:00:00,91421
2020-08-21 15:00:00,86219
2020-08-21 14:00:00,81502
2020-08-21 13:00:00,77527
2020-08-21 12:00:00,74404
2020-08-21 11:00:00,72415
2020-08-21 10:00:00,70003
2020-08-21 09:00:00,69552
2020-08-21 08:00:00,70839
2020-08-21 07:00:00,73190
2020-08-21 06:00:00,76754
2020-08-21 05:00:00,80852
2020-08-21 04:00:00,85517
2020-08-21 03:00:00,91766
2020-08-21 02:00:00,97033
2020-08-21 01:00:00,99911
2020-08-21 00:00:00,104073
2020-08-20 23:00:00,106365
2020-08-20 22:00:00,106772
2020-08-20 21:00:00,105457
2020-08-20 20:00:00,103567
2020-08-20 19:00:00,100931
2020-08-20 18:00:00,97276
2020-08-20 17:00:00,93250
2020-08-20 16:00:00,88574
2020-08-20 15:00:00,83933
2020-08-20 14:00:00,79822
2020-08-20 13:00:00,76900
2020-08-20 12:00:00,74876
2020-08-20 11:00:00,71544
2020-08-20 10:00:00,68933
2020-08-20 09:00:00,68458
2020-08-20 08:00:00,69333
2020-08-20 07:00:00,71317
2020-08-20 06:00:00,74802
2020-08-20 05:00:00,78774
2020-08-20 04:00:00,83343
2020-08-20 03:00:00,89394
2020-08-20 02:00:00,94200
2020-08-20 01:00:00,97120
2020-08-20 00:00:00,101150
2020-08-19 23:00:00,103181
2020-08-19 22:00:00,103428
2020-08-19 21:00:00,102356
2020-08-19 20:00:00,100708
2020-08-19 19:00:00,98429
2020-08-19 18:00:00,95022
2020-08-19 17:00:00,91553
2020-08-19 16:00:00,87308
2020-08-19 15:00:00,83596
2020-08-19 14:00:00,79584
2020-08-19 13:00:00,75670
2020-08-19 12:00:00,72648
2020-08-19 11:00:00,70765
2020-08-19 10:00:00,69023
2020-08-19 09:00:00,68296
2020-08-19 08:00:00,69472
2020-08-19 07:00:00,71434
2020-08-19 06:00:00,74639
2020-08-19 05:00:00,78429
2020-08-19 04:00:00,83236
2020-08-19 03:00:00,88864
2020-08-19 02:00:00,93994
2020-08-19 01:00:00,96678
2020-08-19 00:00:00,100785
2020-08-18 23:00:00,103144
2020-08-18 22:00:00,103554
2020-08-18 21:00:00,103164
2020-08-18 20:00:00,102395
2020-08-18 19:00:00,100864
2020-08-18 18:00:00,97782
2020-08-18 17:00:00,94084
2020-08-18 16:00:00,90107
2020-08-18 15:00:00,85944
2020-08-18 14:00:00,81850
2020-08-18 13:00:00,77896
2020-08-18 12:00:00,74862
2020-08-18 11:00:00,72381
2020-08-18 10:00:00,70892
2020-08-18 09:00:00,70443
2020-08-18 08:00:00,71652
2020-08-18 07:00:00,73861
2020-08-18 06:00:00,77221
2020-08-18 05:00:00,81178
2020-08-18 04:00:00,86561
2020-08-18 03:00:00,92978
2020-08-18 02:00:00,98266
2020-08-18 01:00:00,101895
2020-08-18 00:00:00,106827
2020-08-17 23:00:00,109356
2020-08-17 22:00:00,109874
2020-08-17 21:00:00,109478
2020-08-17 20:00:00,108037
2020-08-17 19:00:00,105679
2020-08-17 18:00:00,101883
2020-08-17 17:00:00,97402
2020-08-17 16:00:00,92449
2020-08-17 15:00:00,87326
2020-08-17 14:00:00,82725
2020-08-17 13:00:00,78142
2020-08-17 12:00:00,74296
2020-08-17 11:00:00,72445
2020-08-17 10:00:00,69946
2020-08-17 09:00:00,69242
2020-08-17 08:00:00,70201
2020-08-17 07:00:00,72256
2020-08-17 06:00:00,75379
2020-08-17 05:00:00,79632
2020-08-17 04:00:00,84150
2020-08-17 03:00:00,90423
2020-08-17 02:00:00,95399
2020-08-17 01:00:00,98692
2020-08-17 00:00:00,103141
2020-08-16 23:00:00,104699
2020-08-16 22:00:00,104093
2020-08-16 21:00:00,102295
2020-08-16 20:00:00,99784
2020-08-16 19:00:00,96704
2020-08-16 18:00:00,92987
2020-08-16 17:00:00,88543
2020-08-16 16:00:00,83632
2020-08-16 15:00:00,78057
2020-08-16 14:00:00,73110
2020-08-16 13:00:00,69735
2020-08-16 12:00:00,67749
2020-08-16 11:00:00,68212
2020-08-16 10:00:00,68297
2020-08-16 09:00:00,69426
2020-08-16 08:00:00,71360
2020-08-16 07:00:00,74066
2020-08-16 06:00:00,77352
2020-08-16 05:00:00,80981
2020-08-16 04:00:00,85736
2020-08-16 03:00:00,91452
2020-08-16 02:00:00,96075
2020-08-16 01:00:00,99183
2020-08-16 00:00:00,103489
2020-08-15 23:00:00,105902
2020-08-15 22:00:00,106740
2020-08-15 21:00:00,105992
2020-08-15 20:00:00,104705
2020-08-15 19:00:00,102246
2020-08-15 18:00:00,98803
2020-08-15 17:00:00,94191
2020-08-15 16:00:00,88933
2020-08-15 15:00:00,82931
2020-08-15 14:00:00,76797
2020-08-15 13:00:00,72469
2020-08-15 12:00:00,71029
2020-08-15 11:00:00,70681
2020-08-15 10:00:00,70617
2020-08-15 09:00:00,71367
2020-08-15 08:00:00,72998
2020-08-15 07:00:00,75543
2020-08-15 06:00:00,79264
2020-08-15 05:00:00,83506
2020-08-15 04:00:00,88644
2020-08-15 03:00:00,94469
2020-08-15 02:00:00,99347
2020-08-15 01:00:00,102950
2020-08-15 00:00:00,107325
2020-08-14 23:00:00,110329
2020-08-14 22:00:00,111530
2020-08-14 21:00:00,111233
2020-08-14 20:00:00,110488
2020-08-14 19:00:00,108544
2020-08-14 18:00:00,105279
2020-08-14 17:00:00,101436
2020-08-14 16:00:00,96918
2020-08-14 15:00:00,91563
2020-08-14 14:00:00,86583
2020-08-14 13:00:00,82137
2020-08-14 12:00:00,79048
2020-08-14 11:00:00,76059
2020-08-14 10:00:00,73868
2020-08-14 09:00:00,74234
2020-08-14 08:00:00,75443
2020-08-14 07:00:00,77894
2020-08-14 06:00:00,81882
2020-08-14 05:00:00,87012
2020-08-14 04:00:00,92569
2020-08-14 03:00:00,98251
2020-08-14 02:00:00,102840
2020-08-14 01:00:00,105614
2020-08-14 00:00:00,109482
2020-08-13 23:00:00,111737
2020-08-13 22:00:00,112695
2020-08-13 21:00:00,112426
2020-08-13 20:00:00,111531
2020-08-13 19:00:00,109853
2020-08-13 18:00:00,106780
2020-08-13 17:00:00,102445
2020-08-13 16:00:00,97057
2020-08-13 15:00:00,91571
2020-08-13 14:00:00,86511
2020-08-13 13:00:00,81598
2020-08-13 12:00:00,78972
2020-08-13 11:00:00,75713
2020-08-13 10:00:00,73162
2020-08-13 09:00:00,72710
2020-08-13 08:00:00,73653
2020-08-13 07:00:00,75713
2020-08-13 06:00:00,78945
2020-08-13 05:00:00,83814
2020-08-13 04:00:00,89762
2020-08-13 03:00:00,95322
2020-08-13 02:00:00,99980
2020-08-13 01:00:00,102716
2020-08-13 00:00:00,107006
2020-08-12 23:00:00,109452
2020-08-12 22:00:00,109640
2020-08-12 21:00:00,108987
2020-08-12 20:00:00,107755
2020-08-12 19:00:00,105882
2020-08-12 18:00:00,102784
2020-08-12 17:00:00,98835
2020-08-12 16:00:00,94583
2020-08-12 15:00:00,89757
2020-08-12 14:00:00,84748
2020-08-12 13:00:00,80387
2020-08-12 12:00:00,77176
2020-08-12 11:00:00,74625
2020-08-12 10:00:00,72538
2020-08-12 09:00:00,72065
2020-08-12 08:00:00,73170
2020-08-12 07:00:00,75647
2020-08-12 06:00:00,79145
2020-08-12 05:00:00,84142
2020-08-12 04:00:00,89619
2020-08-12 03:00:00,95682
2020-08-12 02:00:00,100466
2020-08-12 01:00:00,103735
2020-08-12 00:00:00,107964
2020-08-11 23:00:00,110416
2020-08-11 22:00:00,111059
2020-08-11 21:00:00,110576
2020-08-11 20:00:00,109469
2020-08-11 19:00:00,107225
2020-08-11 18:00:00,103769
2020-08-11 17:00:00,99678
2020-08-11 16:00:00,94289
2020-08-11 15:00:00,89649
2020-08-11 14:00:00,84991
2020-08-11 13:00:00,82062
2020-08-11 12:00:00,78943
2020-08-11 11:00:00,75947
2020-08-11 10:00:00,73208
2020-08-11 09:00:00,72729
2020-08-11 08:00:00,74066
2020-08-11 07:00:00,76676
2020-08-11 06:00:00,80017
2020-08-11 05:00:00,83597
2020-08-11 04:00:00,89281
2020-08-11 03:00:00,95452
2020-08-11 02:00:00,100664
2020-08-11 01:00:00,104336
2020-08-11 00:00:00,109084
2020-08-10 23:00:00,113043
2020-08-10 22:00:00,115099
2020-08-10 21:00:00,116180
2020-08-10 20:00:00,115939
2020-08-10 19:00:00,114888
2020-08-10 18:00:00,112193
2020-08-10 17:00:00,108468
2020-08-10 16:00:00,103990
2020-08-10 15:00:00,98072
2020-08-10 14:00:00,92293
2020-08-10 13:00:00,86404
2020-08-10 12:00:00,82054
2020-08-10 11:00:00,80023
2020-08-10 10:00:00,77272
2020-08-10 09:00:00,76671
2020-08-10 08:00:00,77462
2020-08-10 07:00:00,79940
2020-08-10 06:00:00,83322
2020-08-10 05:00:00,88079
2020-08-10 04:00:00,93070
2020-08-10 03:00:00,98579
2020-08-10 02:00:00,103050
2020-08-10 01:00:00,105502
2020-08-10 00:00:00,108877
2020-08-09 23:00:00,110002
2020-08-09 22:00:00,109642
2020-08-09 21:00:00,108102
2020-08-09 20:00:00,106450
2020-08-09 19:00:00,104032
2020-08-09 18:00:00,100797
2020-08-09 17:00:00,95938
2020-08-09 16:00:00,89707
2020-08-09 15:00:00,83293
2020-08-09 14:00:00,77093
2020-08-09 13:00:00,71753
2020-08-09 12:00:00,69272
2020-08-09 11:00:00,69468
2020-08-09 10:00:00,70022
2020-08-09 09:00:00,71100
2020-08-09 08:00:00,72869
2020-08-09 07:00:00,75317
2020-08-09 06:00:00,79030
2020-08-09 05:00:00,83592
2020-08-09 04:00:00,88145
2020-08-09 03:00:00,93304
2020-08-09 02:00:00,97020
2020-08-09 01:00:00,99909
2020-08-09 00:00:00,103899
2020-08-08 23:00:00,105595
2020-08-08 22:00:00,105573
2020-08-08 21:00:00,104140
2020-08-08 20:00:00,102573
2020-08-08 19:00:00,100182
2020-08-08 18:00:00,97027
2020-08-08 17:00:00,92443
2020-08-08 16:00:00,87338
2020-08-08 15:00:00,81772
2020-08-08 14:00:00,75883
2020-08-08 13:00:00,71656
2020-08-08 12:00:00,70017
2020-08-08 11:00:00,69521
2020-08-08 10:00:00,69134
2020-08-08 09:00:00,69819
2020-08-08 08:00:00,71263
2020-08-08 07:00:00,73649
2020-08-08 06:00:00,77404
2020-08-08 05:00:00,81163
2020-08-08 04:00:00,85700
2020-08-08 03:00:00,91594
2020-08-08 02:00:00,95492
2020-08-08 01:00:00,98659
2020-08-08 00:00:00,102826
2020-08-07 23:00:00,105112
