Date,Consumption
2020-08-24 11:00:00,14627
2020-08-24 10:00:00,14003
2020-08-24 09:00:00,13352
2020-08-24 08:00:00,13213
2020-08-24 07:00:00,13384
2020-08-24 06:00:00,13645
2020-08-24 05:00:00,13902
2020-08-24 04:00:00,14543
2020-08-24 03:00:00,15508
2020-08-24 02:00:00,16759
2020-08-24 01:00:00,17797
2020-08-24 00:00:00,18369
2020-08-23 23:00:00,19039
2020-08-23 22:00:00,19307
2020-08-23 21:00:00,19180
2020-08-23 20:00:00,18608
2020-08-23 19:00:00,17906
2020-08-23 18:00:00,17151
2020-08-23 17:00:00,16182
2020-08-23 16:00:00,15141
2020-08-23 15:00:00,14106
2020-08-23 14:00:00,13249
2020-08-23 13:00:00,12717
2020-08-23 12:00:00,12456
2020-08-23 11:00:00,12310
2020-08-23 10:00:00,12217
2020-08-23 09:00:00,12240
2020-08-23 08:00:00,12429
2020-08-23 07:00:00,12552
2020-08-23 06:00:00,12734
2020-08-23 05:00:00,13268
2020-08-23 04:00:00,14178
2020-08-23 03:00:00,15196
2020-08-23 02:00:00,16361
2020-08-23 01:00:00,17288
2020-08-23 00:00:00,17716
2020-08-22 23:00:00,18247
2020-08-22 22:00:00,18260
2020-08-22 21:00:00,17786
2020-08-22 20:00:00,17369
2020-08-22 19:00:00,17073
2020-08-22 18:00:00,16468
2020-08-22 17:00:00,15750
2020-08-22 16:00:00,15224
2020-08-22 15:00:00,14561
2020-08-22 14:00:00,14028
2020-08-22 13:00:00,13485
2020-08-22 12:00:00,13012
2020-08-22 11:00:00,12633
2020-08-22 10:00:00,12410
2020-08-22 09:00:00,12179
2020-08-22 08:00:00,12176
2020-08-22 07:00:00,12253
2020-08-22 06:00:00,12550
2020-08-22 05:00:00,13247
2020-08-22 04:00:00,14259
2020-08-22 03:00:00,15528
2020-08-22 02:00:00,16808
2020-08-22 01:00:00,17814
2020-08-22 00:00:00,18244
2020-08-21 23:00:00,18860
2020-08-21 22:00:00,18954
2020-08-21 21:00:00,18442
2020-08-21 20:00:00,17687
2020-08-21 19:00:00,16958
2020-08-21 18:00:00,16202
2020-08-21 17:00:00,15374
2020-08-21 16:00:00,14614
2020-08-21 15:00:00,14018
2020-08-21 14:00:00,13639
2020-08-21 13:00:00,13280
2020-08-21 12:00:00,12708
2020-08-21 11:00:00,12119
2020-08-21 10:00:00,11280
2020-08-21 09:00:00,10997
2020-08-21 08:00:00,11110
2020-08-21 07:00:00,11202
2020-08-21 06:00:00,11309
2020-08-21 05:00:00,11746
2020-08-21 04:00:00,12619
2020-08-21 03:00:00,13738
2020-08-21 02:00:00,14733
2020-08-21 01:00:00,15629
2020-08-21 00:00:00,15971
2020-08-20 23:00:00,16443
2020-08-20 22:00:00,16294
2020-08-20 21:00:00,15542
2020-08-20 20:00:00,14804
2020-08-20 19:00:00,14297
2020-08-20 18:00:00,13890
2020-08-20 17:00:00,13508
2020-08-20 16:00:00,13125
2020-08-20 15:00:00,12828
2020-08-20 14:00:00,12710
2020-08-20 13:00:00,12949
2020-08-20 12:00:00,12869
2020-08-20 11:00:00,12294
2020-08-20 10:00:00,11693
2020-08-20 09:00:00,11265
2020-08-20 08:00:00,11207
2020-08-20 07:00:00,11325
2020-08-20 06:00:00,11330
2020-08-20 05:00:00,11885
2020-08-20 04:00:00,12467
2020-08-20 03:00:00,13434
2020-08-20 02:00:00,14465
2020-08-20 01:00:00,15327
2020-08-20 00:00:00,15592
2020-08-19 23:00:00,15908
2020-08-19 22:00:00,15880
2020-08-19 21:00:00,15364
2020-08-19 20:00:00,15132
2020-08-19 19:00:00,15365
2020-08-19 18:00:00,15537
2020-08-19 17:00:00,15164
2020-08-19 16:00:00,14668
2020-08-19 15:00:00,13968
2020-08-19 14:00:00,13608
2020-08-19 13:00:00,13421
2020-08-19 12:00:00,13604
2020-08-19 11:00:00,12820
2020-08-19 10:00:00,12173
2020-08-19 09:00:00,11855
2020-08-19 08:00:00,11832
2020-08-19 07:00:00,12104
2020-08-19 06:00:00,12034
2020-08-19 05:00:00,12221
2020-08-19 04:00:00,13201
2020-08-19 03:00:00,14495
2020-08-19 02:00:00,15923
2020-08-19 01:00:00,17044
2020-08-19 00:00:00,17556
2020-08-18 23:00:00,18208
2020-08-18 22:00:00,18223
2020-08-18 21:00:00,17752
2020-08-18 20:00:00,17185
2020-08-18 19:00:00,17004
2020-08-18 18:00:00,16564
2020-08-18 17:00:00,15971
2020-08-18 16:00:00,15388
2020-08-18 15:00:00,14928
2020-08-18 14:00:00,14515
2020-08-18 13:00:00,14208
2020-08-18 12:00:00,13721
2020-08-18 11:00:00,12618
2020-08-18 10:00:00,11745
2020-08-18 09:00:00,11227
2020-08-18 08:00:00,11338
2020-08-18 07:00:00,11485
2020-08-18 06:00:00,11583
2020-08-18 05:00:00,12133
2020-08-18 04:00:00,12942
2020-08-18 03:00:00,13984
2020-08-18 02:00:00,15123
2020-08-18 01:00:00,16034
2020-08-18 00:00:00,16380
2020-08-17 23:00:00,16807
2020-08-17 22:00:00,16828
2020-08-17 21:00:00,16237
2020-08-17 20:00:00,15698
2020-08-17 19:00:00,15192
2020-08-17 18:00:00,14779
2020-08-17 17:00:00,14322
2020-08-17 16:00:00,13972
2020-08-17 15:00:00,13764
2020-08-17 14:00:00,13763
2020-08-17 13:00:00,13826
2020-08-17 12:00:00,13067
2020-08-17 11:00:00,12383
2020-08-17 10:00:00,11529
2020-08-17 09:00:00,11162
2020-08-17 08:00:00,10993
2020-08-17 07:00:00,11081
2020-08-17 06:00:00,11106
2020-08-17 05:00:00,11530
2020-08-17 04:00:00,11681
2020-08-17 03:00:00,12516
2020-08-17 02:00:00,13410
2020-08-17 01:00:00,14057
2020-08-17 00:00:00,14184
2020-08-16 23:00:00,14261
2020-08-16 22:00:00,14215
2020-08-16 21:00:00,13872
2020-08-16 20:00:00,13592
2020-08-16 19:00:00,13573
2020-08-16 18:00:00,13639
2020-08-16 17:00:00,13584
2020-08-16 16:00:00,13370
2020-08-16 15:00:00,12985
2020-08-16 14:00:00,12493
2020-08-16 13:00:00,11972
2020-08-16 12:00:00,11731
2020-08-16 11:00:00,11797
2020-08-16 10:00:00,11640
2020-08-16 09:00:00,11077
2020-08-16 08:00:00,10887
2020-08-16 07:00:00,11017
2020-08-16 06:00:00,11361
2020-08-16 05:00:00,11870
