Date,Consumption
2020-08-30 20:00:00,41761
2020-08-30 19:00:00,40015
2020-08-30 18:00:00,38540
2020-08-30 17:00:00,36904
2020-08-30 16:00:00,34926
2020-08-30 15:00:00,32683
2020-08-30 14:00:00,31182
2020-08-30 13:00:00,30501
2020-08-30 12:00:00,30414
2020-08-30 11:00:00,30573
2020-08-30 10:00:00,31014
2020-08-30 09:00:00,31869
2020-08-30 08:00:00,33096
2020-08-30 07:00:00,34793
2020-08-30 06:00:00,37351
2020-08-30 05:00:00,39760
2020-08-30 04:00:00,42224
2020-08-30 03:00:00,43751
2020-08-30 02:00:00,45325
2020-08-30 01:00:00,46431
2020-08-30 00:00:00,46477
2020-08-29 23:00:00,45559
2020-08-29 22:00:00,44715
2020-08-29 21:00:00,43860
2020-08-29 20:00:00,42814
2020-08-29 19:00:00,41585
2020-08-29 18:00:00,40039
2020-08-29 17:00:00,38176
2020-08-29 16:00:00,36211
2020-08-29 15:00:00,34187
2020-08-29 14:00:00,32534
2020-08-29 13:00:00,31817
2020-08-29 12:00:00,31464
2020-08-29 11:00:00,31499
2020-08-29 10:00:00,31963
2020-08-29 09:00:00,33127
2020-08-29 08:00:00,34551
2020-08-29 07:00:00,36563
2020-08-29 06:00:00,39193
2020-08-29 05:00:00,42168
2020-08-29 04:00:00,44820
2020-08-29 03:00:00,46740
2020-08-29 02:00:00,47978
2020-08-29 01:00:00,49405
2020-08-29 00:00:00,49727
2020-08-28 23:00:00,49636
2020-08-28 22:00:00,49004
2020-08-28 21:00:00,47949
2020-08-28 20:00:00,46688
2020-08-28 19:00:00,44887
2020-08-28 18:00:00,43184
2020-08-28 17:00:00,41559
2020-08-28 16:00:00,40057
2020-08-28 15:00:00,38210
2020-08-28 14:00:00,36332
2020-08-28 13:00:00,34619
2020-08-28 12:00:00,32877
2020-08-28 11:00:00,32387
2020-08-28 10:00:00,32624
2020-08-28 09:00:00,33707
2020-08-28 08:00:00,34977
2020-08-28 07:00:00,37241
2020-08-28 06:00:00,40435
2020-08-28 05:00:00,43894
2020-08-28 04:00:00,46662
2020-08-28 03:00:00,48557
2020-08-28 02:00:00,50885
2020-08-28 01:00:00,52211
2020-08-28 00:00:00,52570
2020-08-27 23:00:00,52276
2020-08-27 22:00:00,51422
2020-08-27 21:00:00,50130
2020-08-27 20:00:00,49046
2020-08-27 19:00:00,46451
2020-08-27 18:00:00,44687
2020-08-27 17:00:00,42709
2020-08-27 16:00:00,41127
2020-08-27 15:00:00,38817
2020-08-27 14:00:00,36714
2020-08-27 13:00:00,34681
2020-08-27 12:00:00,33047
2020-08-27 11:00:00,32604
2020-08-27 10:00:00,32893
2020-08-27 09:00:00,33837
2020-08-27 08:00:00,35201
2020-08-27 07:00:00,37380
2020-08-27 06:00:00,40186
2020-08-27 05:00:00,43711
2020-08-27 04:00:00,46911
2020-08-27 03:00:00,49133
2020-08-27 02:00:00,50780
2020-08-27 01:00:00,52101
2020-08-27 00:00:00,52689
2020-08-26 23:00:00,52403
2020-08-26 22:00:00,51753
2020-08-26 21:00:00,50808
2020-08-26 20:00:00,49356
2020-08-26 19:00:00,47290
2020-08-26 18:00:00,45088
2020-08-26 17:00:00,43045
2020-08-26 16:00:00,40453
2020-08-26 15:00:00,38892
2020-08-26 14:00:00,36712
2020-08-26 13:00:00,34889
2020-08-26 12:00:00,33300
2020-08-26 11:00:00,32812
2020-08-26 10:00:00,33169
2020-08-26 09:00:00,34296
2020-08-26 08:00:00,34657
2020-08-26 07:00:00,38190
2020-08-26 06:00:00,41276
2020-08-26 05:00:00,44743
2020-08-26 04:00:00,47811
2020-08-26 03:00:00,49740
2020-08-26 02:00:00,51557
2020-08-26 01:00:00,53057
2020-08-26 00:00:00,53959
2020-08-25 23:00:00,53904
2020-08-25 22:00:00,53110
2020-08-25 21:00:00,52092
2020-08-25 20:00:00,50316
2020-08-25 19:00:00,48228
2020-08-25 18:00:00,45950
2020-08-25 17:00:00,43759
2020-08-25 16:00:00,41456
2020-08-25 15:00:00,39310
2020-08-25 14:00:00,37383
2020-08-25 13:00:00,35550
2020-08-25 12:00:00,33897
2020-08-25 11:00:00,33317
2020-08-25 10:00:00,33631
2020-08-25 09:00:00,34610
2020-08-25 08:00:00,36121
2020-08-25 07:00:00,38563
2020-08-25 06:00:00,41469
2020-08-25 05:00:00,45098
2020-08-25 04:00:00,48229
2020-08-25 03:00:00,50121
2020-08-25 02:00:00,51721
2020-08-25 01:00:00,53194
2020-08-25 00:00:00,53751
2020-08-24 23:00:00,53837
2020-08-24 22:00:00,53110
2020-08-24 21:00:00,51580
2020-08-24 20:00:00,49910
2020-08-24 19:00:00,47543
2020-08-24 18:00:00,45512
2020-08-24 17:00:00,43805
2020-08-24 16:00:00,41596
2020-08-24 15:00:00,39289
2020-08-24 14:00:00,37493
2020-08-24 13:00:00,35273
2020-08-24 12:00:00,33595
2020-08-24 11:00:00,32940
2020-08-24 10:00:00,33124
2020-08-24 09:00:00,33839
2020-08-24 08:00:00,35239
2020-08-24 07:00:00,37357
2020-08-24 06:00:00,40327
2020-08-24 05:00:00,43366
2020-08-24 04:00:00,46255
2020-08-24 03:00:00,48271
2020-08-24 02:00:00,49418
2020-08-24 01:00:00,50199
2020-08-24 00:00:00,50182
2020-08-23 23:00:00,49406
2020-08-23 22:00:00,48692
2020-08-23 21:00:00,47171
2020-08-23 20:00:00,45312
2020-08-23 19:00:00,43253
2020-08-23 18:00:00,40926
2020-08-23 17:00:00,39017
2020-08-23 16:00:00,36677
2020-08-23 15:00:00,34347
2020-08-23 14:00:00,32938
2020-08-23 13:00:00,32499
2020-08-23 12:00:00,32313
2020-08-23 11:00:00,32344
2020-08-23 10:00:00,32892
2020-08-23 09:00:00,33900
2020-08-23 08:00:00,35290
2020-08-23 07:00:00,37565
2020-08-23 06:00:00,39987
2020-08-23 05:00:00,42880
2020-08-23 04:00:00,45306
2020-08-23 03:00:00,47078
2020-08-23 02:00:00,48669
2020-08-23 01:00:00,50131
2020-08-23 00:00:00,50543
2020-08-22 23:00:00,50041
2020-08-22 22:00:00,49442
2020-08-22 21:00:00,47992
2020-08-22 20:00:00,46416
2020-08-22 19:00:00,44603
2020-08-22 18:00:00,42421
2020-08-22 17:00:00,40253
2020-08-22 16:00:00,38147
2020-08-22 15:00:00,35901
2020-08-22 14:00:00,34410
2020-08-22 13:00:00,33847
2020-08-22 12:00:00,33601
2020-08-22 11:00:00,33690
2020-08-22 10:00:00,34358
2020-08-22 09:00:00,35251
2020-08-22 08:00:00,36530
2020-08-22 07:00:00,38501
2020-08-22 06:00:00,41461
2020-08-22 05:00:00,44675
2020-08-22 04:00:00,47332
2020-08-22 03:00:00,49153
2020-08-22 02:00:00,50846
2020-08-22 01:00:00,52649
2020-08-22 00:00:00,53483
2020-08-21 23:00:00,53559
2020-08-21 22:00:00,52782
2020-08-21 21:00:00,51559
2020-08-21 20:00:00,49883
2020-08-21 19:00:00,47837
2020-08-21 18:00:00,45747
2020-08-21 17:00:00,43568
2020-08-21 16:00:00,41847
2020-08-21 15:00:00,39827
2020-08-21 14:00:00,37917
2020-08-21 13:00:00,36269
2020-08-21 12:00:00,35116
2020-08-21 11:00:00,34689
2020-08-21 10:00:00,35040
2020-08-21 09:00:00,35937
2020-08-21 08:00:00,37471
2020-08-21 07:00:00,39734
2020-08-21 06:00:00,42606
2020-08-21 05:00:00,46110
2020-08-21 04:00:00,49154
2020-08-21 03:00:00,50956
2020-08-21 02:00:00,52347
2020-08-21 01:00:00,53648
2020-08-21 00:00:00,54320
2020-08-20 23:00:00,54453
2020-08-20 22:00:00,53855
2020-08-20 21:00:00,52714
2020-08-20 20:00:00,50816
2020-08-20 19:00:00,48758
2020-08-20 18:00:00,46787
2020-08-20 17:00:00,44492
2020-08-20 16:00:00,42243
2020-08-20 15:00:00,39883
2020-08-20 14:00:00,37753
2020-08-20 13:00:00,36223
2020-08-20 12:00:00,34967
2020-08-20 11:00:00,34388
2020-08-20 10:00:00,34818
2020-08-20 09:00:00,35872
2020-08-20 08:00:00,37542
2020-08-20 07:00:00,39912
2020-08-20 06:00:00,42921
2020-08-20 05:00:00,46612
2020-08-20 04:00:00,49745
2020-08-20 03:00:00,52080
2020-08-20 02:00:00,53372
2020-08-20 01:00:00,55204
2020-08-20 00:00:00,56140
2020-08-19 23:00:00,56402
2020-08-19 22:00:00,55696
2020-08-19 21:00:00,54543
2020-08-19 20:00:00,52759
2020-08-19 19:00:00,50305
2020-08-19 18:00:00,47821
2020-08-19 17:00:00,45367
2020-08-19 16:00:00,42974
2020-08-19 15:00:00,40493
2020-08-19 14:00:00,38203
2020-08-19 13:00:00,36665
2020-08-19 12:00:00,35490
2020-08-19 11:00:00,35092
2020-08-19 10:00:00,35672
2020-08-19 09:00:00,36833
2020-08-19 08:00:00,38728
2020-08-19 07:00:00,41173
2020-08-19 06:00:00,44567
2020-08-19 05:00:00,48751
2020-08-19 04:00:00,51790
2020-08-19 03:00:00,54016
2020-08-19 02:00:00,56097
2020-08-19 01:00:00,57604
2020-08-19 00:00:00,58217
2020-08-18 23:00:00,58277
2020-08-18 22:00:00,57565
2020-08-18 21:00:00,56054
2020-08-18 20:00:00,54038
2020-08-18 19:00:00,51479
2020-08-18 18:00:00,48844
2020-08-18 17:00:00,46353
2020-08-18 16:00:00,43829
2020-08-18 15:00:00,41385
2020-08-18 14:00:00,39210
2020-08-18 13:00:00,37250
2020-08-18 12:00:00,36152
2020-08-18 11:00:00,35810
2020-08-18 10:00:00,36450
2020-08-18 09:00:00,37617
2020-08-18 08:00:00,39473
2020-08-18 07:00:00,42076
2020-08-18 06:00:00,45483
2020-08-18 05:00:00,49519
2020-08-18 04:00:00,53121
2020-08-18 03:00:00,55428
2020-08-18 02:00:00,57653
2020-08-18 01:00:00,59902
2020-08-18 00:00:00,59838
2020-08-17 23:00:00,59673
2020-08-17 22:00:00,58536
2020-08-17 21:00:00,56922
2020-08-17 20:00:00,54616
2020-08-17 19:00:00,51930
2020-08-17 18:00:00,49071
2020-08-17 17:00:00,46541
2020-08-17 16:00:00,43737
2020-08-17 15:00:00,41043
2020-08-17 14:00:00,38604
2020-08-17 13:00:00,36856
2020-08-17 12:00:00,35617
2020-08-17 11:00:00,35269
2020-08-17 10:00:00,35880
2020-08-17 09:00:00,36999
2020-08-17 08:00:00,38735
2020-08-17 07:00:00,41156
2020-08-17 06:00:00,44352
2020-08-17 05:00:00,48070
2020-08-17 04:00:00,51127
2020-08-17 03:00:00,52888
2020-08-17 02:00:00,54401
2020-08-17 01:00:00,55551
