Date,Consumption
2020-08-24 11:00:00,18740
2020-08-24 10:00:00,17860
2020-08-24 09:00:00,17338
2020-08-24 08:00:00,17397
2020-08-24 07:00:00,17777
2020-08-24 06:00:00,18370
2020-08-24 05:00:00,19188
2020-08-24 04:00:00,20358
2020-08-24 03:00:00,21660
2020-08-24 02:00:00,22907
2020-08-24 01:00:00,23761
2020-08-24 00:00:00,24053
2020-08-23 23:00:00,24749
2020-08-23 22:00:00,25043
2020-08-23 21:00:00,24755
2020-08-23 20:00:00,24261
2020-08-23 19:00:00,23918
2020-08-23 18:00:00,23303
2020-08-23 17:00:00,22493
2020-08-23 16:00:00,21552
2020-08-23 15:00:00,20385
2020-08-23 14:00:00,18970
2020-08-23 13:00:00,17678
2020-08-23 12:00:00,16618
2020-08-23 11:00:00,16078
2020-08-23 10:00:00,16061
2020-08-23 09:00:00,16114
2020-08-23 08:00:00,16409
2020-08-23 07:00:00,16902
2020-08-23 06:00:00,17653
2020-08-23 05:00:00,18669
2020-08-23 04:00:00,19913
2020-08-23 03:00:00,21211
2020-08-23 02:00:00,22411
2020-08-23 01:00:00,23260
2020-08-23 00:00:00,23637
2020-08-22 23:00:00,24335
2020-08-22 22:00:00,24570
2020-08-22 21:00:00,24437
2020-08-22 20:00:00,24172
2020-08-22 19:00:00,23708
2020-08-22 18:00:00,23232
2020-08-22 17:00:00,22378
2020-08-22 16:00:00,21408
2020-08-22 15:00:00,20293
2020-08-22 14:00:00,19076
2020-08-22 13:00:00,17871
2020-08-22 12:00:00,16780
2020-08-22 11:00:00,16144
2020-08-22 10:00:00,15956
2020-08-22 09:00:00,15898
2020-08-22 08:00:00,16111
2020-08-22 07:00:00,16525
2020-08-22 06:00:00,17142
2020-08-22 05:00:00,18077
2020-08-22 04:00:00,19203
2020-08-22 03:00:00,20438
2020-08-22 02:00:00,21601
2020-08-22 01:00:00,22412
2020-08-22 00:00:00,22845
2020-08-21 23:00:00,23630
2020-08-21 22:00:00,24157
2020-08-21 21:00:00,24002
2020-08-21 20:00:00,23532
2020-08-21 19:00:00,22957
2020-08-21 18:00:00,22362
2020-08-21 17:00:00,21630
2020-08-21 16:00:00,20813
2020-08-21 15:00:00,19893
2020-08-21 14:00:00,18974
2020-08-21 13:00:00,18008
2020-08-21 12:00:00,16933
2020-08-21 11:00:00,15922
2020-08-21 10:00:00,15101
2020-08-21 09:00:00,14599
2020-08-21 08:00:00,14596
2020-08-21 07:00:00,14879
2020-08-21 06:00:00,15367
2020-08-21 05:00:00,16078
2020-08-21 04:00:00,17082
2020-08-21 03:00:00,18250
2020-08-21 02:00:00,19376
2020-08-21 01:00:00,20204
2020-08-21 00:00:00,20618
2020-08-20 23:00:00,21382
2020-08-20 22:00:00,21671
2020-08-20 21:00:00,21343
2020-08-20 20:00:00,20765
2020-08-20 19:00:00,20262
2020-08-20 18:00:00,19814
2020-08-20 17:00:00,19282
2020-08-20 16:00:00,18761
2020-08-20 15:00:00,18212
2020-08-20 14:00:00,17639
2020-08-20 13:00:00,17045
2020-08-20 12:00:00,16151
2020-08-20 11:00:00,15130
2020-08-20 10:00:00,14372
2020-08-20 09:00:00,13949
2020-08-20 08:00:00,14028
2020-08-20 07:00:00,14329
2020-08-20 06:00:00,14872
2020-08-20 05:00:00,15628
2020-08-20 04:00:00,16707
2020-08-20 03:00:00,17873
2020-08-20 02:00:00,18979
2020-08-20 01:00:00,19723
2020-08-20 00:00:00,20000
2020-08-19 23:00:00,20546
2020-08-19 22:00:00,20690
2020-08-19 21:00:00,20253
2020-08-19 20:00:00,19865
2020-08-19 19:00:00,19698
2020-08-19 18:00:00,19594
2020-08-19 17:00:00,19535
2020-08-19 16:00:00,19434
2020-08-19 15:00:00,19214
2020-08-19 14:00:00,18793
2020-08-19 13:00:00,18216
2020-08-19 12:00:00,17328
2020-08-19 11:00:00,16317
2020-08-19 10:00:00,15530
2020-08-19 09:00:00,15103
2020-08-19 08:00:00,15189
2020-08-19 07:00:00,15545
2020-08-19 06:00:00,16123
2020-08-19 05:00:00,16893
2020-08-19 04:00:00,17956
2020-08-19 03:00:00,19211
2020-08-19 02:00:00,20427
2020-08-19 01:00:00,21249
2020-08-19 00:00:00,21623
2020-08-18 23:00:00,22408
2020-08-18 22:00:00,22855
2020-08-18 21:00:00,22745
2020-08-18 20:00:00,22492
2020-08-18 19:00:00,22119
2020-08-18 18:00:00,21669
2020-08-18 17:00:00,21091
2020-08-18 16:00:00,20472
2020-08-18 15:00:00,19776
2020-08-18 14:00:00,19061
2020-08-18 13:00:00,18274
2020-08-18 12:00:00,17193
2020-08-18 11:00:00,16079
2020-08-18 10:00:00,15302
2020-08-18 09:00:00,14869
2020-08-18 08:00:00,14991
2020-08-18 07:00:00,15425
2020-08-18 06:00:00,15888
2020-08-18 05:00:00,16587
2020-08-18 04:00:00,17600
2020-08-18 03:00:00,18788
2020-08-18 02:00:00,19930
2020-08-18 01:00:00,20899
2020-08-18 00:00:00,21240
2020-08-17 23:00:00,21878
2020-08-17 22:00:00,22380
2020-08-17 21:00:00,22608
2020-08-17 20:00:00,22573
2020-08-17 19:00:00,22283
2020-08-17 18:00:00,21704
2020-08-17 17:00:00,21004
2020-08-17 16:00:00,20334
2020-08-17 15:00:00,19665
2020-08-17 14:00:00,18966
2020-08-17 13:00:00,18119
2020-08-17 12:00:00,17058
2020-08-17 11:00:00,15850
2020-08-17 10:00:00,14964
2020-08-17 09:00:00,14434
2020-08-17 08:00:00,14417
2020-08-17 07:00:00,14637
2020-08-17 06:00:00,15047
2020-08-17 05:00:00,15673
2020-08-17 04:00:00,16540
2020-08-17 03:00:00,17532
2020-08-17 02:00:00,18470
2020-08-17 01:00:00,19042
2020-08-17 00:00:00,19070
2020-08-16 23:00:00,19261
2020-08-16 22:00:00,19287
2020-08-16 21:00:00,19084
2020-08-16 20:00:00,18952
2020-08-16 19:00:00,18873
2020-08-16 18:00:00,18766
2020-08-16 17:00:00,18693
2020-08-16 16:00:00,18346
2020-08-16 15:00:00,17793
2020-08-16 14:00:00,17171
2020-08-16 13:00:00,16414
2020-08-16 12:00:00,15717
2020-08-16 11:00:00,15379
2020-08-16 10:00:00,15348
2020-08-16 09:00:00,15387
2020-08-16 08:00:00,15643
2020-08-16 07:00:00,16044
2020-08-16 06:00:00,16594
2020-08-16 05:00:00,17378
2020-08-16 04:00:00,18384
2020-08-16 03:00:00,19468
2020-08-16 02:00:00,20412
2020-08-16 01:00:00,21074
2020-08-16 00:00:00,21332
2020-08-15 23:00:00,21985
2020-08-15 22:00:00,22458
2020-08-15 21:00:00,22537
2020-08-15 20:00:00,22484
2020-08-15 19:00:00,22345
2020-08-15 18:00:00,21942
2020-08-15 17:00:00,21301
2020-08-15 16:00:00,20419
2020-08-15 15:00:00,19434
2020-08-15 14:00:00,18470
2020-08-15 13:00:00,17510
2020-08-15 12:00:00,16714
2020-08-15 11:00:00,16145
2020-08-15 10:00:00,16020
2020-08-15 09:00:00,16049
2020-08-15 08:00:00,16400
2020-08-15 07:00:00,16955
2020-08-15 06:00:00,17674
2020-08-15 05:00:00,18693
2020-08-15 04:00:00,20026
2020-08-15 03:00:00,21460
2020-08-15 02:00:00,22798
2020-08-15 01:00:00,23729
2020-08-15 00:00:00,24441
2020-08-14 23:00:00,25484
2020-08-14 22:00:00,26040
2020-08-14 21:00:00,26082
2020-08-14 20:00:00,25910
2020-08-14 19:00:00,25600
2020-08-14 18:00:00,25313
2020-08-14 17:00:00,24768
2020-08-14 16:00:00,23973
2020-08-14 15:00:00,22939
2020-08-14 14:00:00,21802
2020-08-14 13:00:00,20692
2020-08-14 12:00:00,19372
2020-08-14 11:00:00,18217
2020-08-14 10:00:00,17386
2020-08-14 09:00:00,16964
2020-08-14 08:00:00,17061
2020-08-14 07:00:00,17448
2020-08-14 06:00:00,18117
2020-08-14 05:00:00,19010
2020-08-14 04:00:00,20298
2020-08-14 03:00:00,21737
2020-08-14 02:00:00,23100
2020-08-14 01:00:00,23923
2020-08-14 00:00:00,24333
2020-08-13 23:00:00,24900
2020-08-13 22:00:00,25169
2020-08-13 21:00:00,25011
2020-08-13 20:00:00,24779
2020-08-13 19:00:00,24632
2020-08-13 18:00:00,24436
2020-08-13 17:00:00,24039
2020-08-13 16:00:00,23520
2020-08-13 15:00:00,22874
2020-08-13 14:00:00,22090
2020-08-13 13:00:00,21137
2020-08-13 12:00:00,20011
2020-08-13 11:00:00,19004
2020-08-13 10:00:00,18173
2020-08-13 09:00:00,17784
2020-08-13 08:00:00,17899
2020-08-13 07:00:00,18327
2020-08-13 06:00:00,18983
2020-08-13 05:00:00,19962
2020-08-13 04:00:00,21292
2020-08-13 03:00:00,22915
2020-08-13 02:00:00,24514
2020-08-13 01:00:00,25559
2020-08-13 00:00:00,26195
2020-08-12 23:00:00,27031
2020-08-12 22:00:00,27486
2020-08-12 21:00:00,27586
2020-08-12 20:00:00,27887
2020-08-12 19:00:00,28013
2020-08-12 18:00:00,27648
2020-08-12 17:00:00,26825
2020-08-12 16:00:00,25927
2020-08-12 15:00:00,24926
2020-08-12 14:00:00,23838
2020-08-12 13:00:00,22639
2020-08-12 12:00:00,21370
2020-08-12 11:00:00,20016
2020-08-12 10:00:00,19190
2020-08-12 09:00:00,18775
2020-08-12 08:00:00,18890
2020-08-12 07:00:00,19375
2020-08-12 06:00:00,20129
2020-08-12 05:00:00,21179
2020-08-12 04:00:00,22557
2020-08-12 03:00:00,24214
2020-08-12 02:00:00,25780
2020-08-12 01:00:00,26773
2020-08-12 00:00:00,27435
2020-08-11 23:00:00,28457
2020-08-11 22:00:00,29061
2020-08-11 21:00:00,29024
2020-08-11 20:00:00,29011
2020-08-11 19:00:00,28731
2020-08-11 18:00:00,28370
2020-08-11 17:00:00,27733
2020-08-11 16:00:00,26823
2020-08-11 15:00:00,25663
2020-08-11 14:00:00,24372
2020-08-11 13:00:00,23022
2020-08-11 12:00:00,21529
2020-08-11 11:00:00,20054
2020-08-11 10:00:00,19186
2020-08-11 09:00:00,18766
2020-08-11 08:00:00,18965
2020-08-11 07:00:00,19446
2020-08-11 06:00:00,20193
2020-08-11 05:00:00,21299
2020-08-11 04:00:00,22760
2020-08-11 03:00:00,24454
2020-08-11 02:00:00,26100
2020-08-11 01:00:00,27212
2020-08-11 00:00:00,27993
2020-08-10 23:00:00,29022
2020-08-10 22:00:00,29685
2020-08-10 21:00:00,29654
2020-08-10 20:00:00,29328
2020-08-10 19:00:00,28910
2020-08-10 18:00:00,28396
2020-08-10 17:00:00,27511
2020-08-10 16:00:00,26411
