Date,Consumption
2020-08-24 11:00:00,40426
2020-08-24 10:00:00,39617
2020-08-24 09:00:00,39906
2020-08-24 08:00:00,40991
2020-08-24 07:00:00,42727
2020-08-24 06:00:00,45244
2020-08-24 05:00:00,48697
2020-08-24 04:00:00,52791
2020-08-24 03:00:00,56766
2020-08-24 02:00:00,59409
2020-08-24 01:00:00,61502
2020-08-24 00:00:00,64060
2020-08-23 23:00:00,65190
2020-08-23 22:00:00,64896
2020-08-23 21:00:00,63893
2020-08-23 20:00:00,62130
2020-08-23 19:00:00,59771
2020-08-23 18:00:00,56607
2020-08-23 17:00:00,52616
2020-08-23 16:00:00,47861
2020-08-23 15:00:00,43049
2020-08-23 14:00:00,38781
2020-08-23 13:00:00,36308
2020-08-23 12:00:00,36345
2020-08-23 11:00:00,36425
2020-08-23 10:00:00,36833
2020-08-23 09:00:00,37733
2020-08-23 08:00:00,39047
2020-08-23 07:00:00,40735
2020-08-23 06:00:00,43125
2020-08-23 05:00:00,45986
2020-08-23 04:00:00,49191
2020-08-23 03:00:00,52306
2020-08-23 02:00:00,54783
2020-08-23 01:00:00,56831
2020-08-23 00:00:00,59371
2020-08-22 23:00:00,60719
2020-08-22 22:00:00,61229
2020-08-22 21:00:00,60749
2020-08-22 20:00:00,59538
2020-08-22 19:00:00,57626
2020-08-22 18:00:00,55055
2020-08-22 17:00:00,51919
2020-08-22 16:00:00,48526
2020-08-22 15:00:00,44983
2020-08-22 14:00:00,41669
2020-08-22 13:00:00,39379
2020-08-22 12:00:00,39305
2020-08-22 11:00:00,39201
2020-08-22 10:00:00,39404
2020-08-22 09:00:00,40251
2020-08-22 08:00:00,41674
2020-08-22 07:00:00,43637
2020-08-22 06:00:00,46063
2020-08-22 05:00:00,49283
2020-08-22 04:00:00,52712
2020-08-22 03:00:00,56202
2020-08-22 02:00:00,58839
2020-08-22 01:00:00,61078
2020-08-22 00:00:00,64208
2020-08-21 23:00:00,66443
2020-08-21 22:00:00,67836
2020-08-21 21:00:00,67966
2020-08-21 20:00:00,66539
2020-08-21 19:00:00,64022
2020-08-21 18:00:00,60663
2020-08-21 17:00:00,56703
2020-08-21 16:00:00,52440
2020-08-21 15:00:00,48130
2020-08-21 14:00:00,44377
2020-08-21 13:00:00,41911
2020-08-21 12:00:00,40983
2020-08-21 11:00:00,39482
2020-08-21 10:00:00,38780
2020-08-21 09:00:00,39110
2020-08-21 08:00:00,40245
2020-08-21 07:00:00,42122
2020-08-21 06:00:00,44700
2020-08-21 05:00:00,48164
2020-08-21 04:00:00,52330
2020-08-21 03:00:00,56464
2020-08-21 02:00:00,59357
2020-08-21 01:00:00,61747
2020-08-21 00:00:00,64911
2020-08-20 23:00:00,67057
2020-08-20 22:00:00,67859
2020-08-20 21:00:00,67451
2020-08-20 20:00:00,65706
2020-08-20 19:00:00,63183
2020-08-20 18:00:00,59934
2020-08-20 17:00:00,55999
2020-08-20 16:00:00,51423
2020-08-20 15:00:00,47063
2020-08-20 14:00:00,43517
2020-08-20 13:00:00,41090
2020-08-20 12:00:00,40198
2020-08-20 11:00:00,38576
2020-08-20 10:00:00,37697
2020-08-20 09:00:00,38129
2020-08-20 08:00:00,39331
2020-08-20 07:00:00,41461
2020-08-20 06:00:00,43979
2020-08-20 05:00:00,47667
2020-08-20 04:00:00,52074
2020-08-20 03:00:00,56527
2020-08-20 02:00:00,59770
2020-08-20 01:00:00,62669
2020-08-20 00:00:00,65881
2020-08-19 23:00:00,67676
2020-08-19 22:00:00,68341
2020-08-19 21:00:00,67771
2020-08-19 20:00:00,66099
2020-08-19 19:00:00,63588
2020-08-19 18:00:00,60304
2020-08-19 17:00:00,56274
2020-08-19 16:00:00,51745
2020-08-19 15:00:00,47459
2020-08-19 14:00:00,43816
2020-08-19 13:00:00,41387
2020-08-19 12:00:00,40641
2020-08-19 11:00:00,39272
2020-08-19 10:00:00,38557
2020-08-19 09:00:00,39049
2020-08-19 08:00:00,40427
2020-08-19 07:00:00,42425
2020-08-19 06:00:00,45276
2020-08-19 05:00:00,48981
2020-08-19 04:00:00,53227
2020-08-19 03:00:00,57438
2020-08-19 02:00:00,60603
2020-08-19 01:00:00,63233
2020-08-19 00:00:00,66463
2020-08-18 23:00:00,69011
2020-08-18 22:00:00,69818
2020-08-18 21:00:00,69439
2020-08-18 20:00:00,68307
2020-08-18 19:00:00,66023
2020-08-18 18:00:00,62746
2020-08-18 17:00:00,58662
2020-08-18 16:00:00,54096
2020-08-18 15:00:00,49504
2020-08-18 14:00:00,45652
2020-08-18 13:00:00,43248
2020-08-18 12:00:00,42486
2020-08-18 11:00:00,40996
2020-08-18 10:00:00,40169
2020-08-18 09:00:00,40414
2020-08-18 08:00:00,41545
