ds,y
2020-08-09 13:00:00-07:00,32203
2020-08-09 12:00:00-07:00,30053
2020-08-09 11:00:00-07:00,28146
2020-08-09 10:00:00-07:00,26972
2020-08-09 09:00:00-07:00,26370
2020-08-09 08:00:00-07:00,25870
2020-08-09 07:00:00-07:00,25919
2020-08-09 06:00:00-07:00,26316
2020-08-09 05:00:00-07:00,26269
2020-08-09 04:00:00-07:00,26721
2020-08-09 03:00:00-07:00,27669
2020-08-09 02:00:00-07:00,28976
2020-08-09 01:00:00-07:00,30822
2020-08-09 00:00:00-07:00,33211
2020-08-08 23:00:00-07:00,35956
2020-08-08 22:00:00-07:00,38681
2020-08-08 21:00:00-07:00,40849
2020-08-08 20:00:00-07:00,42171
2020-08-08 19:00:00-07:00,43371
2020-08-08 18:00:00-07:00,42632
2020-08-08 17:00:00-07:00,40996
2020-08-08 16:00:00-07:00,39079
2020-08-08 15:00:00-07:00,36818
2020-08-08 14:00:00-07:00,34570
2020-08-08 13:00:00-07:00,32486
2020-08-08 12:00:00-07:00,30946
2020-08-08 11:00:00-07:00,29427
2020-08-08 10:00:00-07:00,28387
2020-08-08 09:00:00-07:00,27722
2020-08-08 08:00:00-07:00,27108
2020-08-08 07:00:00-07:00,26781
2020-08-08 06:00:00-07:00,26892
2020-08-08 05:00:00-07:00,26731
2020-08-08 04:00:00-07:00,27070
2020-08-08 03:00:00-07:00,27933
2020-08-08 02:00:00-07:00,29231
2020-08-08 01:00:00-07:00,31048
2020-08-08 00:00:00-07:00,33333
2020-08-07 23:00:00-07:00,35976
2020-08-07 22:00:00-07:00,38552
2020-08-07 21:00:00-07:00,40583
2020-08-07 20:00:00-07:00,41765
2020-08-07 19:00:00-07:00,42947
2020-08-07 18:00:00-07:00,42471
2020-08-07 17:00:00-07:00,41021
2020-08-07 16:00:00-07:00,39513
2020-08-07 15:00:00-07:00,37502
2020-08-07 14:00:00-07:00,35409
2020-08-07 13:00:00-07:00,33672
2020-08-07 12:00:00-07:00,32478
2020-08-07 11:00:00-07:00,31696
2020-08-07 10:00:00-07:00,31276
2020-08-07 09:00:00-07:00,30717
2020-08-07 08:00:00-07:00,29666
2020-08-07 07:00:00-07:00,28742
2020-08-07 06:00:00-07:00,27954
