Date,Consumption
2020-08-30 20:00:00,37710
2020-08-30 19:00:00,36238
2020-08-30 18:00:00,34336
2020-08-30 17:00:00,32333
2020-08-30 16:00:00,30412
2020-08-30 15:00:00,28705
2020-08-30 14:00:00,27212
2020-08-30 13:00:00,26220
2020-08-30 12:00:00,26042
2020-08-30 11:00:00,25882
2020-08-30 10:00:00,25999
2020-08-30 09:00:00,26401
2020-08-30 08:00:00,27053
2020-08-30 07:00:00,27961
2020-08-30 06:00:00,29139
2020-08-30 05:00:00,30755
2020-08-30 04:00:00,32680
2020-08-30 03:00:00,34633
2020-08-30 02:00:00,36300
2020-08-30 01:00:00,37532
2020-08-30 00:00:00,39210
2020-08-29 23:00:00,40043
2020-08-29 22:00:00,39910
2020-08-29 21:00:00,39350
2020-08-29 20:00:00,38429
2020-08-29 19:00:00,37506
2020-08-29 18:00:00,36325
2020-08-29 17:00:00,35190
2020-08-29 16:00:00,33979
2020-08-29 15:00:00,32434
2020-08-29 14:00:00,30856
2020-08-29 13:00:00,29832
2020-08-29 12:00:00,29685
2020-08-29 11:00:00,29474
2020-08-29 10:00:00,29582
2020-08-29 09:00:00,30193
2020-08-29 08:00:00,31149
2020-08-29 07:00:00,32508
2020-08-29 06:00:00,34138
2020-08-29 05:00:00,36239
2020-08-29 04:00:00,38685
2020-08-29 03:00:00,41079
2020-08-29 02:00:00,43119
2020-08-29 01:00:00,44888
2020-08-29 00:00:00,46991
2020-08-28 23:00:00,48335
2020-08-28 22:00:00,48771
2020-08-28 21:00:00,48417
2020-08-28 20:00:00,47419
2020-08-28 19:00:00,45815
2020-08-28 18:00:00,43514
2020-08-28 17:00:00,40929
2020-08-28 16:00:00,38195
2020-08-28 15:00:00,35509
2020-08-28 14:00:00,33347
2020-08-28 13:00:00,31747
2020-08-28 12:00:00,30729
2020-08-28 11:00:00,29285
2020-08-28 10:00:00,28659
2020-08-28 09:00:00,28866
2020-08-28 08:00:00,29569
2020-08-28 07:00:00,30641
2020-08-28 06:00:00,32176
2020-08-28 05:00:00,34234
2020-08-28 04:00:00,36779
2020-08-28 03:00:00,39315
2020-08-28 02:00:00,41164
2020-08-28 01:00:00,42533
2020-08-28 00:00:00,43945
2020-08-27 23:00:00,44547
2020-08-27 22:00:00,44705
2020-08-27 21:00:00,44473
2020-08-27 20:00:00,43692
2020-08-27 19:00:00,42768
2020-08-27 18:00:00,41176
2020-08-27 17:00:00,39297
2020-08-27 16:00:00,37105
2020-08-27 15:00:00,35205
2020-08-27 14:00:00,33627
2020-08-27 13:00:00,32402
2020-08-27 12:00:00,31324
2020-08-27 11:00:00,29839
2020-08-27 10:00:00,29229
2020-08-27 09:00:00,29409
2020-08-27 08:00:00,30118
2020-08-27 07:00:00,31137
2020-08-27 06:00:00,32792
2020-08-27 05:00:00,34853
2020-08-27 04:00:00,37427
2020-08-27 03:00:00,40044
2020-08-27 02:00:00,41926
2020-08-27 01:00:00,43231
2020-08-27 00:00:00,44794
2020-08-26 23:00:00,45737
2020-08-26 22:00:00,46437
2020-08-26 21:00:00,46530
2020-08-26 20:00:00,46309
2020-08-26 19:00:00,45546
2020-08-26 18:00:00,43947
2020-08-26 17:00:00,41954
2020-08-26 16:00:00,39607
2020-08-26 15:00:00,37085
2020-08-26 14:00:00,34847
2020-08-26 13:00:00,33230
2020-08-26 12:00:00,32162
2020-08-26 11:00:00,30756
2020-08-26 10:00:00,30203
2020-08-26 09:00:00,30488
2020-08-26 08:00:00,31216
2020-08-26 07:00:00,32351
2020-08-26 06:00:00,33952
2020-08-26 05:00:00,36084
2020-08-26 04:00:00,38852
2020-08-26 03:00:00,41685
2020-08-26 02:00:00,43738
2020-08-26 01:00:00,45346
2020-08-26 00:00:00,47108
2020-08-25 23:00:00,48016
2020-08-25 22:00:00,48405
2020-08-25 21:00:00,48090
2020-08-25 20:00:00,47263
2020-08-25 19:00:00,46125
2020-08-25 18:00:00,44188
2020-08-25 17:00:00,41661
2020-08-25 16:00:00,39013
2020-08-25 15:00:00,36180
2020-08-25 14:00:00,33883
2020-08-25 13:00:00,32111
2020-08-25 12:00:00,31112
2020-08-25 11:00:00,29770
2020-08-25 10:00:00,29206
2020-08-25 09:00:00,29511
2020-08-25 08:00:00,30295
2020-08-25 07:00:00,31532
2020-08-25 06:00:00,33196
2020-08-25 05:00:00,35357
2020-08-25 04:00:00,38153
2020-08-25 03:00:00,41051
2020-08-25 02:00:00,43277
2020-08-25 01:00:00,45025
2020-08-25 00:00:00,46867
2020-08-24 23:00:00,47976
2020-08-24 22:00:00,48219
2020-08-24 21:00:00,47961
2020-08-24 20:00:00,47171
2020-08-24 19:00:00,45898
2020-08-24 18:00:00,43785
2020-08-24 17:00:00,41224
2020-08-24 16:00:00,38360
2020-08-24 15:00:00,35532
2020-08-24 14:00:00,33140
2020-08-24 13:00:00,31443
2020-08-24 12:00:00,30321
2020-08-24 11:00:00,28938
2020-08-24 10:00:00,28218
2020-08-24 09:00:00,28552
2020-08-24 08:00:00,29279
2020-08-24 07:00:00,30441
2020-08-24 06:00:00,32139
2020-08-24 05:00:00,34198
2020-08-24 04:00:00,36914
2020-08-24 03:00:00,39565
2020-08-24 02:00:00,41522
2020-08-24 01:00:00,43210
2020-08-24 00:00:00,45070
2020-08-23 23:00:00,45858
2020-08-23 22:00:00,45572
2020-08-23 21:00:00,44691
2020-08-23 20:00:00,43520
2020-08-23 19:00:00,41920
2020-08-23 18:00:00,39775
2020-08-23 17:00:00,37009
2020-08-23 16:00:00,33810
2020-08-23 15:00:00,31017
2020-08-23 14:00:00,28501
2020-08-23 13:00:00,26950
2020-08-23 12:00:00,26811
2020-08-23 11:00:00,26851
2020-08-23 10:00:00,27047
2020-08-23 09:00:00,27541
2020-08-23 08:00:00,28312
2020-08-23 07:00:00,29466
2020-08-23 06:00:00,31057
2020-08-23 05:00:00,33201
2020-08-23 04:00:00,35620
2020-08-23 03:00:00,37790
2020-08-23 02:00:00,39616
2020-08-23 01:00:00,41449
2020-08-23 00:00:00,43473
2020-08-22 23:00:00,44384
2020-08-22 22:00:00,44376
2020-08-22 21:00:00,43540
2020-08-22 20:00:00,42347
2020-08-22 19:00:00,40746
2020-08-22 18:00:00,38812
2020-08-22 17:00:00,36597
2020-08-22 16:00:00,33916
2020-08-22 15:00:00,31263
2020-08-22 14:00:00,28945
2020-08-22 13:00:00,27185
2020-08-22 12:00:00,26783
2020-08-22 11:00:00,26583
2020-08-22 10:00:00,26619
2020-08-22 09:00:00,27115
2020-08-22 08:00:00,28007
2020-08-22 07:00:00,29215
2020-08-22 06:00:00,30806
2020-08-22 05:00:00,32873
2020-08-22 04:00:00,35261
2020-08-22 03:00:00,37514
2020-08-22 02:00:00,39103
2020-08-22 01:00:00,40727
2020-08-22 00:00:00,42695
2020-08-21 23:00:00,44066
2020-08-21 22:00:00,44512
2020-08-21 21:00:00,44098
2020-08-21 20:00:00,43096
2020-08-21 19:00:00,41654
2020-08-21 18:00:00,39768
2020-08-21 17:00:00,37769
2020-08-21 16:00:00,35513
2020-08-21 15:00:00,33279
2020-08-21 14:00:00,31414
2020-08-21 13:00:00,29951
2020-08-21 12:00:00,28877
2020-08-21 11:00:00,27688
2020-08-21 10:00:00,27245
2020-08-21 09:00:00,27408
2020-08-21 08:00:00,28083
2020-08-21 07:00:00,29174
2020-08-21 06:00:00,30573
2020-08-21 05:00:00,32523
2020-08-21 04:00:00,35054
2020-08-21 03:00:00,37573
2020-08-21 02:00:00,39334
2020-08-21 01:00:00,40979
2020-08-21 00:00:00,42909
