Date,Consumption
2020-08-30 20:00:00,39169
2020-08-30 19:00:00,39064
2020-08-30 18:00:00,38392
2020-08-30 17:00:00,36919
2020-08-30 16:00:00,34775
2020-08-30 15:00:00,32226
2020-08-30 14:00:00,29102
2020-08-30 13:00:00,25909
2020-08-30 12:00:00,23583
2020-08-30 11:00:00,23154
2020-08-30 10:00:00,23017
2020-08-30 09:00:00,23215
2020-08-30 08:00:00,23714
2020-08-30 07:00:00,24712
2020-08-30 06:00:00,26082
2020-08-30 05:00:00,27837
2020-08-30 04:00:00,30553
2020-08-30 03:00:00,32817
2020-08-30 02:00:00,35039
2020-08-30 01:00:00,37056
2020-08-30 00:00:00,38264
2020-08-29 23:00:00,40014
2020-08-29 22:00:00,41519
2020-08-29 21:00:00,42865
2020-08-29 20:00:00,44002
2020-08-29 19:00:00,43844
2020-08-29 18:00:00,42962
2020-08-29 17:00:00,41369
2020-08-29 16:00:00,39036
2020-08-29 15:00:00,36041
2020-08-29 14:00:00,33075
2020-08-29 13:00:00,29536
2020-08-29 12:00:00,26679
2020-08-29 11:00:00,25988
2020-08-29 10:00:00,25667
2020-08-29 09:00:00,25796
2020-08-29 08:00:00,26438
2020-08-29 07:00:00,27524
2020-08-29 06:00:00,28784
2020-08-29 05:00:00,30828
2020-08-29 04:00:00,33176
2020-08-29 03:00:00,35934
2020-08-29 02:00:00,37934
2020-08-29 01:00:00,40233
2020-08-29 00:00:00,41546
2020-08-28 23:00:00,43807
2020-08-28 22:00:00,45692
2020-08-28 21:00:00,46690
2020-08-28 20:00:00,47005
2020-08-28 19:00:00,46642
2020-08-28 18:00:00,45509
2020-08-28 17:00:00,43541
2020-08-28 16:00:00,40787
2020-08-28 15:00:00,37313
2020-08-28 14:00:00,34136
2020-08-28 13:00:00,30746
2020-08-28 12:00:00,28529
2020-08-28 11:00:00,27300
2020-08-28 10:00:00,26082
2020-08-28 09:00:00,25435
2020-08-28 08:00:00,25725
2020-08-28 07:00:00,26649
2020-08-28 06:00:00,28059
2020-08-28 05:00:00,30172
2020-08-28 04:00:00,32774
2020-08-28 03:00:00,35718
2020-08-28 02:00:00,38139
2020-08-28 01:00:00,41081
2020-08-28 00:00:00,42217
2020-08-27 23:00:00,43895
2020-08-27 22:00:00,45695
2020-08-27 21:00:00,46544
2020-08-27 20:00:00,46653
2020-08-27 19:00:00,46189
2020-08-27 18:00:00,45135
2020-08-27 17:00:00,43298
2020-08-27 16:00:00,40633
2020-08-27 15:00:00,37813
2020-08-27 14:00:00,34438
2020-08-27 13:00:00,31174
2020-08-27 12:00:00,28930
2020-08-27 11:00:00,27692
2020-08-27 10:00:00,26592
2020-08-27 09:00:00,25887
2020-08-27 08:00:00,26059
2020-08-27 07:00:00,26848
2020-08-27 06:00:00,28322
2020-08-27 05:00:00,30304
2020-08-27 04:00:00,32783
2020-08-27 03:00:00,35335
2020-08-27 02:00:00,38807
2020-08-27 01:00:00,41409
2020-08-27 00:00:00,42749
2020-08-26 23:00:00,45101
2020-08-26 22:00:00,46122
2020-08-26 21:00:00,46600
2020-08-26 20:00:00,46436
2020-08-26 19:00:00,45841
2020-08-26 18:00:00,44668
2020-08-26 17:00:00,43093
2020-08-26 16:00:00,40642
2020-08-26 15:00:00,37604
2020-08-26 14:00:00,34730
2020-08-26 13:00:00,31641
2020-08-26 12:00:00,29315
2020-08-26 11:00:00,28322
2020-08-26 10:00:00,27030
2020-08-26 09:00:00,26461
2020-08-26 08:00:00,26805
2020-08-26 07:00:00,27780
2020-08-26 06:00:00,29255
2020-08-26 05:00:00,31261
2020-08-26 04:00:00,33197
2020-08-26 03:00:00,36549
2020-08-26 02:00:00,39521
2020-08-26 01:00:00,41659
2020-08-26 00:00:00,43469
2020-08-25 23:00:00,45743
2020-08-25 22:00:00,47054
