Date,Consumption
2020-08-30 20:00:00,38061
2020-08-30 19:00:00,37313
2020-08-30 18:00:00,36150
2020-08-30 17:00:00,34253
2020-08-30 16:00:00,31775
2020-08-30 15:00:00,29085
2020-08-30 14:00:00,26451
2020-08-30 13:00:00,24169
2020-08-30 12:00:00,22917
2020-08-30 11:00:00,22791
2020-08-30 10:00:00,22690
2020-08-30 09:00:00,22799
2020-08-30 08:00:00,23056
2020-08-30 07:00:00,23906
2020-08-30 06:00:00,24945
2020-08-30 05:00:00,26678
2020-08-30 04:00:00,28364
2020-08-30 03:00:00,30321
2020-08-30 02:00:00,32181
2020-08-30 01:00:00,33588
2020-08-30 00:00:00,34538
2020-08-29 23:00:00,35734
2020-08-29 22:00:00,36067
2020-08-29 21:00:00,35687
2020-08-29 20:00:00,35163
2020-08-29 19:00:00,33955
2020-08-29 18:00:00,32770
2020-08-29 17:00:00,31300
2020-08-29 16:00:00,29562
2020-08-29 15:00:00,28166
2020-08-29 14:00:00,26718
2020-08-29 13:00:00,25499
2020-08-29 12:00:00,25336
2020-08-29 11:00:00,25077
2020-08-29 10:00:00,25167
2020-08-29 09:00:00,25163
2020-08-29 08:00:00,25470
2020-08-29 07:00:00,25834
2020-08-29 06:00:00,26107
2020-08-29 05:00:00,28023
2020-08-29 04:00:00,28498
2020-08-29 03:00:00,31057
2020-08-29 02:00:00,32748
2020-08-29 01:00:00,34032
2020-08-29 00:00:00,34776
2020-08-28 23:00:00,35754
2020-08-28 22:00:00,36831
2020-08-28 21:00:00,37511
2020-08-28 20:00:00,37813
2020-08-28 19:00:00,37305
2020-08-28 18:00:00,36046
2020-08-28 17:00:00,34399
2020-08-28 16:00:00,32889
2020-08-28 15:00:00,31175
2020-08-28 14:00:00,29742
2020-08-28 13:00:00,28622
2020-08-28 12:00:00,28199
2020-08-28 11:00:00,27529
2020-08-28 10:00:00,26355
2020-08-28 09:00:00,26280
2020-08-28 08:00:00,26582
2020-08-28 07:00:00,27308
2020-08-28 06:00:00,28098
2020-08-28 05:00:00,28038
2020-08-28 04:00:00,30038
2020-08-28 03:00:00,32071
2020-08-28 02:00:00,34217
2020-08-28 01:00:00,35746
2020-08-28 00:00:00,36405
2020-08-27 23:00:00,37470
2020-08-27 22:00:00,38938
2020-08-27 21:00:00,38922
2020-08-27 20:00:00,39211
2020-08-27 19:00:00,39017
2020-08-27 18:00:00,37509
2020-08-27 17:00:00,35438
2020-08-27 16:00:00,33808
2020-08-27 15:00:00,31147
2020-08-27 14:00:00,28831
2020-08-27 13:00:00,27091
2020-08-27 12:00:00,26517
2020-08-27 11:00:00,26075
2020-08-27 10:00:00,25068
2020-08-27 09:00:00,24841
2020-08-27 08:00:00,25048
2020-08-27 07:00:00,25768
2020-08-27 06:00:00,26420
2020-08-27 05:00:00,26515
2020-08-27 04:00:00,28581
2020-08-27 03:00:00,29679
2020-08-27 02:00:00,32036
2020-08-27 01:00:00,33700
2020-08-27 00:00:00,36071
2020-08-26 23:00:00,37045
2020-08-26 22:00:00,37469
2020-08-26 21:00:00,37724
2020-08-26 20:00:00,37539
2020-08-26 19:00:00,36953
2020-08-26 18:00:00,35823
2020-08-26 17:00:00,34106
2020-08-26 16:00:00,32083
2020-08-26 15:00:00,29763
2020-08-26 14:00:00,27706
2020-08-26 13:00:00,27538
2020-08-26 12:00:00,26679
2020-08-26 11:00:00,25924
2020-08-26 10:00:00,24853
2020-08-26 09:00:00,24246
2020-08-26 08:00:00,24335
2020-08-26 07:00:00,25008
2020-08-26 06:00:00,25870
2020-08-26 05:00:00,26416
2020-08-26 04:00:00,28188
2020-08-26 03:00:00,30083
2020-08-26 02:00:00,31805
2020-08-26 01:00:00,32829
2020-08-26 00:00:00,32971
2020-08-25 23:00:00,33124
2020-08-25 22:00:00,33197
2020-08-25 21:00:00,33018
2020-08-25 20:00:00,32713
2020-08-25 19:00:00,32387
2020-08-25 18:00:00,31442
2020-08-25 17:00:00,30434
2020-08-25 16:00:00,29758
2020-08-25 15:00:00,28844
2020-08-25 14:00:00,28051
2020-08-25 13:00:00,27327
2020-08-25 12:00:00,26897
2020-08-25 11:00:00,26067
2020-08-25 10:00:00,24921
2020-08-25 09:00:00,24301
2020-08-25 08:00:00,24399
2020-08-25 07:00:00,24944
2020-08-25 06:00:00,25420
2020-08-25 05:00:00,25221
2020-08-25 04:00:00,27804
2020-08-25 03:00:00,29729
2020-08-25 02:00:00,32431
2020-08-25 01:00:00,31952
2020-08-25 00:00:00,33256
2020-08-24 23:00:00,34199
2020-08-24 22:00:00,34272
2020-08-24 21:00:00,34734
2020-08-24 20:00:00,34523
2020-08-24 19:00:00,33807
2020-08-24 18:00:00,33053
2020-08-24 17:00:00,31292
2020-08-24 16:00:00,30184
2020-08-24 15:00:00,29082
2020-08-24 14:00:00,27932
2020-08-24 13:00:00,26893
2020-08-24 12:00:00,26391
2020-08-24 11:00:00,25588
2020-08-24 10:00:00,24199
2020-08-24 09:00:00,23464
2020-08-24 08:00:00,23510
2020-08-24 07:00:00,23782
2020-08-24 06:00:00,24210
2020-08-24 05:00:00,24956
2020-08-24 04:00:00,26910
2020-08-24 03:00:00,29104
2020-08-24 02:00:00,31134
2020-08-24 01:00:00,32267
2020-08-24 00:00:00,32845
2020-08-23 23:00:00,33899
2020-08-23 22:00:00,34380
2020-08-23 21:00:00,34335
2020-08-23 20:00:00,33620
2020-08-23 19:00:00,32789
2020-08-23 18:00:00,31376
2020-08-23 17:00:00,29467
2020-08-23 16:00:00,27288
2020-08-23 15:00:00,25252
2020-08-23 14:00:00,23651
2020-08-23 13:00:00,22506
2020-08-23 12:00:00,22013
2020-08-23 11:00:00,22144
2020-08-23 10:00:00,21887
2020-08-23 09:00:00,22062
2020-08-23 08:00:00,22418
2020-08-23 07:00:00,22505
2020-08-23 06:00:00,23093
2020-08-23 05:00:00,25236
2020-08-23 04:00:00,27184
2020-08-23 03:00:00,29169
2020-08-23 02:00:00,31105
2020-08-23 01:00:00,32274
