Date,Consumption
2020-08-30 20:00:00,23744
2020-08-30 19:00:00,23127
2020-08-30 18:00:00,22187
2020-08-30 17:00:00,20784
2020-08-30 16:00:00,19343
2020-08-30 15:00:00,17898
2020-08-30 14:00:00,16723
2020-08-30 13:00:00,15617
2020-08-30 12:00:00,15165
2020-08-30 11:00:00,15080
2020-08-30 10:00:00,14989
2020-08-30 09:00:00,15197
2020-08-30 08:00:00,15579
2020-08-30 07:00:00,16109
2020-08-30 06:00:00,16886
2020-08-30 05:00:00,17968
2020-08-30 04:00:00,19400
2020-08-30 03:00:00,20738
2020-08-30 02:00:00,22220
2020-08-30 01:00:00,23298
2020-08-30 00:00:00,24171
2020-08-29 23:00:00,25485
2020-08-29 22:00:00,25893
2020-08-29 21:00:00,25776
2020-08-29 20:00:00,25173
2020-08-29 19:00:00,24332
2020-08-29 18:00:00,23172
2020-08-29 17:00:00,21906
2020-08-29 16:00:00,20574
2020-08-29 15:00:00,19062
2020-08-29 14:00:00,17631
2020-08-29 13:00:00,16472
2020-08-29 12:00:00,15914
2020-08-29 11:00:00,15672
2020-08-29 10:00:00,15457
2020-08-29 09:00:00,15484
2020-08-29 08:00:00,15709
2020-08-29 07:00:00,16134
2020-08-29 06:00:00,16615
2020-08-29 05:00:00,17505
2020-08-29 04:00:00,18505
2020-08-29 03:00:00,19507
2020-08-29 02:00:00,20260
2020-08-29 01:00:00,20634
2020-08-29 00:00:00,20823
2020-08-28 23:00:00,21389
2020-08-28 22:00:00,21955
2020-08-28 21:00:00,22244
2020-08-28 20:00:00,22310
2020-08-28 19:00:00,22482
2020-08-28 18:00:00,22662
2020-08-28 17:00:00,22112
2020-08-28 16:00:00,21320
2020-08-28 15:00:00,20638
2020-08-28 14:00:00,19934
2020-08-28 13:00:00,19130
2020-08-28 12:00:00,18626
2020-08-28 11:00:00,17618
2020-08-28 10:00:00,16823
2020-08-28 09:00:00,16634
2020-08-28 08:00:00,16747
2020-08-28 07:00:00,17147
2020-08-28 06:00:00,17876
2020-08-28 05:00:00,18834
2020-08-28 04:00:00,20124
2020-08-28 03:00:00,21533
2020-08-28 02:00:00,22941
2020-08-28 01:00:00,23817
2020-08-28 00:00:00,24093
2020-08-27 23:00:00,24788
2020-08-27 22:00:00,25478
2020-08-27 21:00:00,25995
2020-08-27 20:00:00,26026
2020-08-27 19:00:00,25710
2020-08-27 18:00:00,25286
2020-08-27 17:00:00,24098
2020-08-27 16:00:00,22704
2020-08-27 15:00:00,21131
2020-08-27 14:00:00,19848
2020-08-27 13:00:00,18752
2020-08-27 12:00:00,17980
2020-08-27 11:00:00,17198
2020-08-27 10:00:00,16399
2020-08-27 09:00:00,16179
2020-08-27 08:00:00,16305
2020-08-27 07:00:00,17039
2020-08-27 06:00:00,17824
2020-08-27 05:00:00,18986
2020-08-27 04:00:00,20628
2020-08-27 03:00:00,22488
2020-08-27 02:00:00,24051
2020-08-27 01:00:00,24954
2020-08-27 00:00:00,25640
2020-08-26 23:00:00,26522
2020-08-26 22:00:00,26563
2020-08-26 21:00:00,26185
2020-08-26 20:00:00,25437
2020-08-26 19:00:00,24500
2020-08-26 18:00:00,23748
2020-08-26 17:00:00,22823
2020-08-26 16:00:00,21653
2020-08-26 15:00:00,20598
2020-08-26 14:00:00,19525
2020-08-26 13:00:00,18535
2020-08-26 12:00:00,17783
2020-08-26 11:00:00,16849
2020-08-26 10:00:00,16034
2020-08-26 09:00:00,15717
2020-08-26 08:00:00,16013
2020-08-26 07:00:00,16389
2020-08-26 06:00:00,17079
2020-08-26 05:00:00,18046
2020-08-26 04:00:00,19387
2020-08-26 03:00:00,20993
2020-08-26 02:00:00,22310
2020-08-26 01:00:00,23049
2020-08-26 00:00:00,23409
2020-08-25 23:00:00,24119
2020-08-25 22:00:00,24721
2020-08-25 21:00:00,25365
2020-08-25 20:00:00,25790
